time,sst_coast,sst_offshore,sst_upwelling_dif
2023-06-21 09:00:00,285.428,289.481,-4.052999999999997
2023-06-22 09:00:00,284.27299999999997,289.346,-5.073000000000036
2023-06-23 09:00:00,284.611,289.462,-4.850999999999999
2023-06-24 09:00:00,285.154,289.546,-4.391999999999996
2023-06-25 09:00:00,285.404,289.565,-4.161000000000001
2023-06-26 09:00:00,285.354,289.89599999999996,-4.541999999999973
2023-06-27 09:00:00,285.09,290.31899999999996,-5.228999999999985
2023-06-28 09:00:00,284.594,290.073,-5.478999999999985
2023-06-29 09:00:00,284.188,290.717,-6.528999999999996
2023-06-30 09:00:00,284.12199999999996,290.959,-6.837000000000046
2023-07-01 09:00:00,284.695,291.01599999999996,-6.3209999999999695
2023-07-02 09:00:00,284.96999999999997,291.05199999999996,-6.081999999999994
2023-07-03 09:00:00,285.602,290.231,-4.629000000000019
2023-07-04 09:00:00,285.628,290.12899999999996,-4.500999999999976
2023-07-05 09:00:00,285.631,290.137,-4.506000000000029
2023-07-06 09:00:00,285.962,290.20799999999997,-4.245999999999981
2023-07-07 09:00:00,285.971,290.24699999999996,-4.275999999999954
2023-07-08 09:00:00,285.871,290.215,-4.343999999999994
2023-07-09 09:00:00,286.162,290.221,-4.059000000000026
2023-07-10 09:00:00,286.292,290.969,-4.677000000000021
2023-07-11 09:00:00,286.128,291.224,-5.096000000000004
2023-07-12 09:00:00,286.14,291.315,-5.175000000000011
2023-07-13 09:00:00,285.64599999999996,291.94199999999995,-6.295999999999992
2023-07-14 09:00:00,284.72999999999996,292.79499999999996,-8.064999999999998
2023-07-15 09:00:00,284.63399999999996,293.75199999999995,-9.117999999999995
2023-07-16 09:00:00,286.179,293.698,-7.5190000000000055
2023-07-17 09:00:00,286.662,293.404,-6.742000000000019
2023-07-18 09:00:00,286.76,293.799,-7.038999999999987
2023-07-19 09:00:00,286.664,294.013,-7.3489999999999895
2023-07-20 09:00:00,286.18699999999995,294.60499999999996,-8.418000000000006
2023-07-21 09:00:00,285.794,294.524,-8.730000000000018
2023-07-22 09:00:00,285.78299999999996,294.529,-8.746000000000038
2023-07-23 09:00:00,285.78999999999996,294.553,-8.763000000000034
2023-07-24 09:00:00,287.265,294.56199999999995,-7.296999999999969
2023-07-25 09:00:00,287.416,294.546,-7.1299999999999955
2023-07-26 09:00:00,287.313,294.34099999999995,-7.027999999999963
2023-07-27 09:00:00,287.292,294.33,-7.038000000000011
2023-07-28 09:00:00,287.286,294.637,-7.350999999999999
2023-07-29 09:00:00,287.167,295.073,-7.906000000000006
2023-07-30 09:00:00,286.90799999999996,295.80199999999996,-8.894000000000005
2023-07-31 09:00:00,286.85499999999996,296.209,-9.354000000000042
2023-08-01 09:00:00,286.839,296.16799999999995,-9.32899999999995
2023-08-02 09:00:00,286.85499999999996,295.66999999999996,-8.814999999999998
2023-08-03 09:00:00,286.69399999999996,295.30499999999995,-8.61099999999999
2023-08-04 09:00:00,285.90799999999996,295.753,-9.845000000000027
2023-08-05 09:00:00,285.83099999999996,295.791,-9.960000000000036
