,amplitude,smoothed_amplitude,amplitude_log
2023-06-21 15:00:00,-902.4940996666788,,
2023-06-21 15:30:00,-943.6895922266946,,
2023-06-21 16:00:00,-775.6364455264395,,
2023-06-21 16:30:00,-859.1355104753935,-870.2389119738016,0.5108584347716771
2023-06-21 17:00:00,-1032.5867161656936,-902.7620660985554,0.5102847111878357
2023-06-21 17:30:00,-799.8488081466816,-866.801870078552,0.5109187591163592
2023-06-21 18:00:00,-790.0163598355532,-870.3968486558305,0.5108556613869271
2023-06-21 18:30:00,-682.4251195426522,-826.2192509226452,0.5116266648124853
2023-06-21 19:00:00,-783.9294477491544,-764.0549338185103,0.5126957131604745
2023-06-21 19:30:00,-676.4191163796895,-733.1975108767623,0.513219655004244
2023-06-21 20:00:00,-641.4016923501749,-696.0438440054178,0.5138447282775935
2023-06-21 20:30:00,-544.3687677646984,-661.5297560609293,0.5144198429128959
2023-06-21 21:00:00,-628.9794813220592,-622.7922644541555,0.5150590894485426
2023-06-21 21:30:00,-586.110028071171,-600.2149923770259,0.5154286650065045
2023-06-21 22:00:00,-545.439729762089,-576.2245017300044,0.5158189929345761
2023-06-21 22:30:00,-205.53756692965212,-491.5167015212428,0.5171780128315887
2023-06-21 23:00:00,-125.98259401709613,-365.767479695002,0.5191424894928823
2023-06-21 23:30:00,-269.31031289943763,-286.5675509020687,0.520348793538863
2023-06-22 00:00:00,-270.6554284965012,-217.87147558567176,0.5213765748870831
2023-06-22 00:30:00,-193.2786106685542,-214.8067365203973,0.5214220356707309
2023-06-22 01:00:00,-215.96823929796585,-237.30314784061474,0.5210875629749466
2023-06-22 01:30:00,-122.93375458627165,-200.7090082623232,0.5216307292026939
2023-06-22 02:00:00,-146.5815037340719,-169.6905270717159,0.5220874668086632
2023-06-22 02:30:00,-96.49446556073619,-145.4944907947614,0.5224414421840505
2023-06-22 03:00:00,-12.532020673512323,-94.635436138648,0.523179008850573
2023-06-22 03:30:00,-111.75809326297484,-91.84152080782381,0.5232192754754393
2023-06-22 04:00:00,-314.6527864078351,-133.8593414762646,0.5226109468927624
2023-06-22 04:30:00,-86.66956100248156,-131.40311533670095,0.52264667129453
2023-06-22 05:00:00,307.03282534720444,-51.511903831521764,0.5237976435951405
2023-06-22 05:30:00,387.90181089995843,73.40307220921156,0.5255558135150251
2023-06-22 06:00:00,458.8264252369539,266.7728751204088,0.5281834987695851
2023-06-22 06:30:00,453.9682589653358,401.93233011236316,0.5299566771308066
2023-06-22 07:00:00,546.5483753878519,461.811217622525,0.5307264330503788
2023-06-22 07:30:00,436.21733854885906,473.89009953475016,0.5308805667181479
2023-06-22 08:00:00,548.1904570751476,496.2311074942986,0.5311646529268835
2023-06-22 08:30:00,752.8085262707748,570.9411743206583,0.5321053843933173
2023-06-22 09:00:00,669.7103094672123,601.7316578404984,0.5324890063050088
2023-06-22 09:30:00,487.07234996333943,614.4454106941186,0.5326467237339195
2023-06-22 10:00:00,547.8805926660423,614.3679445918422,0.5326457639512591
2023-06-22 10:30:00,375.7355545711663,520.0997016669401,0.5314667432395231
2023-06-22 11:00:00,459.059704276368,467.437050369229,0.5307982693118397
2023-06-22 11:30:00,481.2336139199795,465.9773663583891,0.5307796385397968
2023-06-22 12:00:00,525.2776584356822,460.32663280079896,0.5307074626034761
2023-06-22 12:30:00,468.048135490118,483.40477803053693,0.5310017124577735
2023-06-22 13:00:00,225.7230519307896,425.07061494414233,0.530255250113728
2023-06-22 13:30:00,372.8902622039601,397.9847770151374,0.5299055957035369
2023-06-22 14:00:00,408.6299077997767,368.8228393561611,0.5295269400811357
2023-06-22 14:30:00,118.35327315869533,281.3991237733054,0.5283778292679572
2023-06-22 15:00:00,26.044212772534596,231.47941398374167,0.527712070749494
2023-06-22 15:30:00,74.55645603232526,156.89596244083296,0.5267039737079974
2023-06-22 16:00:00,60.00184597205714,69.73894698390308,0.5255049393967482
2023-06-22 16:30:00,62.195661407980346,55.69954404622433,0.5253096265832092
2023-06-22 17:00:00,32.49956790897209,57.31338283033371,0.5253321090069472
2023-06-22 17:30:00,-61.13711893093222,23.389989089519343,0.5248578106556446
2023-06-22 18:00:00,-261.28120968573376,-56.930774824928385,0.5237202420967275
2023-06-22 18:30:00,-32.54572046381539,-80.61612029287731,0.5233807977270106
2023-06-22 19:00:00,-188.84913257129196,-135.95329541294333,0.5225804753937608
2023-06-22 19:30:00,-470.9588987383243,-238.40874036479136,0.5210710789652386
2023-06-22 20:00:00,-209.34702631414183,-225.4251945218934,0.5212643854076369
2023-06-22 20:30:00,-180.23270094139568,-262.34693964128843,0.5207130977926163
2023-06-22 21:00:00,-111.18983562271434,-242.93211540414404,0.5210035916415799
2023-06-22 21:30:00,-342.86151888050995,-210.90777043969047,0.5214798231836336
2023-06-22 22:00:00,-142.55732507080717,-194.21034512885677,0.5217266969110179
2023-06-22 22:30:00,-79.12859332054694,-168.9343182236446,0.5220985601638359
2023-06-22 23:00:00,-181.3847647517781,-186.48305050591057,0.5218406166665174
2023-06-22 23:30:00,-85.89553432862363,-122.24155436793896,0.5227797410430697
2023-06-23 00:00:00,21.518909027605694,-81.22249584333575,0.5233720832525524
2023-06-23 00:30:00,337.12924118603934,22.84196278331082,0.5248501188194089
2023-06-23 01:00:00,529.0823379614737,200.4587384616238,0.5272947580301892
2023-06-23 01:30:00,284.75917287417883,293.1224152623244,0.5285331546161758
2023-06-23 02:00:00,215.66565558311885,341.6591019012027,0.5291721537572086
2023-06-23 02:30:00,344.78782987868686,343.57374907436457,0.5291972271248717
2023-06-23 03:00:00,210.70223089248822,263.9787223071182,0.5281463056125001
2023-06-23 03:30:00,-5.579255646857395,191.39411517685915,0.5271722859752551
2023-06-23 04:00:00,-55.328594136122156,123.64555274704887,0.5262492527726261
2023-06-23 04:30:00,-10.992042180956087,34.70058473213815,0.525016349691621
2023-06-23 05:00:00,237.7987646201389,41.47471816405082,0.5251111094979769
2023-06-23 05:30:00,313.9576413349508,121.35894240950287,0.5262178599290056
2023-06-23 06:00:00,322.5308969230461,215.82381517429494,0.5275018086441989
2023-06-23 06:30:00,389.31180954668866,315.8997781062061,0.5288338390508518
