,amplitude,smoothed_amplitude,amplitude_log
2023-06-21 15:00:00,-1464.77223378975,,
2023-06-21 15:30:00,-1708.4173422941424,,
2023-06-21 16:00:00,-1775.4913663342718,,
2023-06-21 16:30:00,-1778.725449239946,-1681.8515979145277,0.903312087633819
2023-06-21 17:00:00,-1712.925457486715,-1743.8899038387688,0.9010647435666573
2023-06-21 17:30:00,-1772.8804237368645,-1760.0056741994495,0.9004735093870566
2023-06-21 18:00:00,-1792.9597865963585,-1764.3727792649709,0.9003127569709058
2023-06-21 18:30:00,-1759.135073255516,-1759.4751852688637,0.9004930209229589
2023-06-21 19:00:00,-1762.1299249248336,-1771.7763021283931,0.9000397073742749
2023-06-21 19:30:00,-1743.0120975993316,-1764.3092205940102,0.900315098206977
2023-06-21 20:00:00,-1656.7312545000273,-1730.2520875699272,0.9015626482161604
2023-06-21 20:30:00,-1697.0704677764911,-1714.7359362001707,0.9021264559855372
2023-06-21 21:00:00,-1687.3370262954559,-1696.0377115428264,0.9028021483978155
2023-06-21 21:30:00,-1676.4905763951704,-1679.407331241786,0.903399716616669
2023-06-21 22:00:00,-1654.3971572428723,-1678.8238069274973,0.9034206263335
2023-06-21 22:30:00,-1634.3739380318873,-1663.1496744913466,0.9039808325388334
2023-06-21 23:00:00,-1613.9476382857383,-1644.8023274889172,0.90463304895635
2023-06-21 23:30:00,-1580.583958551322,-1620.825673027955,0.9054797042065718
2023-06-22 00:00:00,-1562.0676916881132,-1597.7433066392653,0.9062887906374478
2023-06-22 00:30:00,-1569.921255102081,-1581.6301359068136,0.9068501546155504
2023-06-22 01:00:00,-1557.5248437886216,-1567.5244372825346,0.9073392862444886
2023-06-22 01:30:00,-1563.8085871056642,-1563.33059442112,0.9074843024931033
2023-06-22 02:00:00,-1600.51337998611,-1572.942016495619,0.9071516773933331
2023-06-22 02:30:00,-1619.170899037179,-1585.2544274793936,0.9067241330726704
2023-06-22 03:00:00,-1632.8131163481546,-1604.0764956192768,0.9060673787806443
2023-06-22 03:30:00,-1658.642284369317,-1627.7849199351901,0.9052346188890384
2023-06-22 04:00:00,-1713.8372018499372,-1656.1158754011472,0.9042313201179982
2023-06-22 04:30:00,-1697.4653251218695,-1675.6894819223196,0.9035328735481114
2023-06-22 05:00:00,-1678.8431492907137,-1687.1969901579594,0.9031202121420188
2023-06-22 05:30:00,-1697.6847533505343,-1696.9576074032636,0.9027690013547304
2023-06-22 06:00:00,-1666.5995085740692,-1685.1481840842966,0.9031937938220229
2023-06-22 06:30:00,-1709.3229733587634,-1688.1125961435202,0.9030873130816425
2023-06-22 07:00:00,-1662.4651624312314,-1684.0180994286495,0.9032343595223421
2023-06-22 07:30:00,-1679.9551143805425,-1679.5856896861517,0.9033933246324497
2023-06-22 08:00:00,-1695.4366370240075,-1686.7949717986362,0.903134654202648
2023-06-22 08:30:00,-2161.2759769054,-1799.7832226852952,0.8990007313256051
2023-06-22 09:00:00,-1894.8312189839644,-1857.8747368234785,0.8968145428795116
2023-06-22 09:30:00,-1754.115524816664,-1876.4148394325089,0.8961077527020589
2023-06-22 10:00:00,-1611.4677125029257,-1855.4226083022384,0.896907691105416
2023-06-22 10:30:00,-1693.1426653579813,-1738.3892804153838,0.9012658323455068
2023-06-22 11:00:00,-1765.3912559535772,-1706.029289657787,0.9024415917543143
2023-06-22 11:30:00,-1780.0825257417043,-1712.5210398890472,0.9022067077835637
2023-06-22 12:00:00,-1769.6369104400142,-1752.0633393733192,0.9007652765697935
2023-06-22 12:30:00,-1750.0576568332265,-1766.2920872421305,0.9002420346631949
2023-06-22 13:00:00,-1744.8480116668238,-1761.1562761704422,0.9004311782537414
2023-06-22 13:30:00,-1682.5740663138922,-1736.779161313489,0.9013246260951299
2023-06-22 14:00:00,-1629.0947457325155,-1701.6436201366143,0.902599995917425
2023-06-22 14:30:00,-1625.3078519911492,-1670.4561689260952,0.903720040392356
2023-06-22 15:00:00,-1631.949840684082,-1642.2316261804099,0.904724130952151
2023-06-22 15:30:00,-1903.6102158301148,-1697.4906635594655,0.9027497890088162
2023-06-22 16:00:00,-1422.877616024867,-1645.9363811325534,0.9045928450234763
2023-06-22 16:30:00,-1782.9402187483863,-1685.3444728218624,0.9031867463151855
2023-06-22 17:00:00,-1817.9830980309466,-1731.8527871585788,0.9015043223716727
2023-06-22 17:30:00,-1826.9560606681616,-1712.6892483680904,0.902200615139854
2023-06-22 18:00:00,-1807.1095907950305,-1808.7472420606312,0.8986661498382924
2023-06-22 18:30:00,-1788.9313500202315,-1810.2450248785926,0.8986101478017017
2023-06-22 19:00:00,-1773.8167712880777,-1799.2034431928753,0.8990223372563901
2023-06-22 19:30:00,-1743.6230950188242,-1778.3702017805408,0.8997959569525905
2023-06-22 20:00:00,-1755.458839461643,-1765.457513947194,0.9002727923427701
2023-06-22 20:30:00,-1753.77763062412,-1756.6690840981662,0.9005961737442937
2023-06-22 21:00:00,-1648.7628421563682,-1725.405601815239,0.9017390585152499
2023-06-22 21:30:00,-1639.74733213776,-1699.4366610949728,0.9026796236676687
2023-06-22 22:00:00,-1662.9415374617124,-1676.3073355949903,0.9035107557029488
2023-06-22 22:30:00,-1688.4846170351927,-1659.9840821977584,0.9040936347677933
2023-06-22 23:00:00,-1643.5999688448976,-1658.6933638698906,0.904139595508533
2023-06-22 23:30:00,-1627.8802568663211,-1655.726595052031,0.9042451668527888
2023-06-23 00:00:00,-1576.182535192904,-1634.0368444848289,0.9050139861972618
2023-06-23 00:30:00,-1607.9484935075347,-1613.9028136029142,0.9057229782019054
2023-06-23 01:00:00,-1593.7850829770352,-1601.4490921359488,0.9061592873104051
2023-06-23 01:30:00,-1628.0852038095263,-1601.50032887175,0.9061574957306119
2023-06-23 02:00:00,-1624.0721520373759,-1613.472733082868,0.9057380741411172
2023-06-23 02:30:00,-1629.303505073003,-1618.811485974235,0.9055505385199432
2023-06-23 03:00:00,-1652.988453821023,-1633.6123286852321,0.9050289812476819
2023-06-23 03:30:00,-1692.8918099575492,-1649.8139802222377,0.9044552693054065
2023-06-23 04:00:00,-1572.5968427520404,-1636.9451529009038,0.9049112029358246
2023-06-23 04:30:00,-1642.3914315953375,-1640.2171345314875,0.9047954543745489
2023-06-23 05:00:00,-1643.1855416560727,-1637.76640649025,0.9048821617542394
2023-06-23 05:30:00,-1619.2287154835058,-1619.3506328717392,0.9055315823483324
2023-06-23 06:00:00,-1683.5258113019984,-1647.0828750092285,0.9045521854203803
2023-06-23 06:30:00,-1725.648879446287,-1667.8972369719659,0.9038114458238329
2023-06-23 07:00:00,-1681.4280244776955,-1677.4578576773715,0.9034695578445281
2023-06-23 07:30:00,-1680.2095421785434,-1692.7030643511312,0.9029222253190029
2023-06-23 08:00:00,-1729.552212831015,-1704.2096647333851,0.9025073411648525
2023-06-23 08:30:00,-1678.1878132346578,-1692.3443981804778,0.9029351328385252
2023-06-23 09:00:00,-1680.2208371971358,-1692.0426013603378,0.9029459926190754
2023-06-23 09:30:00,-1666.068354290155,-1688.5073043882408,0.9030731276626024
2023-06-23 10:00:00,-1745.951197017567,-1692.6070504348788,0.9029256807708622
2023-06-23 10:30:00,-1624.8058489725279,-1679.2615593693463,0.903404940497683
2023-06-23 11:00:00,-1709.340422076567,-1686.5414555892044,0.9031437605339917
2023-06-23 11:30:00,-1759.1457565476367,-1709.8108061535745,0.9023048290168831
2023-06-23 12:00:00,-1721.6584504845084,-1703.7376195203099,0.902524391518435
2023-06-23 12:30:00,-1693.8441160673208,-1720.9971862940083,0.9018992827503639
2023-06-23 13:00:00,-1689.215444878348,-1715.9659419944533,0.9020818646909256
2023-06-23 13:30:00,-1610.6766419830403,-1678.8486633533046,0.9034197357202699
2023-06-23 14:00:00,-1655.097846958768,-1662.2085124718694,0.9040143816060461
2023-06-23 14:30:00,-1593.103413342731,-1637.023336790722,0.9049084385195799
2023-06-23 15:00:00,-1539.2423459296022,-1599.5300620535354,0.9062263688810172
2023-06-23 15:30:00,-1716.4225516603835,-1625.966539472871,0.9052987088600876
2023-06-23 16:00:00,-1733.2398274764746,-1645.5020346022977,0.9046082449727425
2023-06-23 16:30:00,-1778.2619245822648,-1691.7916624121813,0.9029550215427646
2023-06-23 17:00:00,-1771.1163742111946,-1749.7601694825794,0.9008497434395957
2023-06-23 17:30:00,-1790.9730682783834,-1768.3977986370794,0.9001643924947658
2023-06-23 18:00:00,-1750.0893180829598,-1772.6101712887007,0.900008911749876
2023-06-23 18:30:00,-1777.4361767095847,-1772.4037343205305,0.9000165364612108
2023-06-23 19:00:00,-1768.46577116771,-1771.7410835596593,0.9000410078453773
2023-06-23 19:30:00,-1753.2466736674426,-1762.3094849069244,0.9003887351898959
2023-06-23 20:00:00,-1677.7000536705991,-1744.2121688038342,0.9010529512004813
2023-06-23 20:30:00,-1751.7166415746713,-1737.7822850201055,0.9012880004939063
2023-06-23 21:00:00,-1689.3298607993531,-1717.9983074280165,0.9020081466774771
2023-06-23 21:30:00,-1692.2134095694482,-1702.739991403518,0.9025604174963978
2023-06-23 22:00:00,-1641.5907702590207,-1693.7126705506232,0.9028858840851839
2023-06-23 22:30:00,-1637.6544168910139,-1665.1971143797089,0.9039078139563963
2023-06-23 23:00:00,-1627.4619486642732,-1649.730136345939,0.9044582458382657
2023-06-23 23:30:00,-1599.7302608358518,-1626.6093491625397,0.905276056807309
2023-06-24 00:00:00,-1575.855372096766,-1610.1754996219763,0.9058537404954444
2023-06-24 00:30:00,-1602.1498828378406,-1601.299366108683,0.906164522572244
2023-06-24 01:00:00,-1590.080422839188,-1591.9539846524117,0.9064908071619346
2023-06-24 01:30:00,-1574.1651817943273,-1585.5627148920305,0.9067134069673365
2023-06-24 02:00:00,-1574.2474970670362,-1585.160746134598,0.906727392282508
2023-06-24 02:30:00,-1631.154357168461,-1592.4118647172531,0.90647484282036
2023-06-24 03:00:00,-1675.4694102123347,-1613.7591115605396,0.9057280224072171
2023-06-24 03:30:00,-1656.4542940272258,-1634.3313896187644,0.9050035808861705
2023-06-24 04:00:00,-1626.4610279224441,-1647.3847723326164,0.9045414763925298
2023-06-24 04:30:00,-1615.478918270106,-1643.4659126080278,0.9046804084254699
2023-06-24 05:00:00,-1666.4290526894329,-1641.2058232273023,0.9047604553454509
2023-06-24 05:30:00,-1582.011882993729,-1622.5952204689281,0.9054174363916555
2023-06-24 06:00:00,-1675.7051381118563,-1634.906248016281,0.9049832702500632
2023-06-24 06:30:00,-1641.3086760523283,-1641.3636874618367,0.9047548660288797
2023-06-24 07:00:00,-1683.1396459869145,-1645.5413357862071,0.9046068516187471
2023-06-24 07:30:00,-1660.0513964969384,-1665.0512141620093,0.9039130188204512
2023-06-24 08:00:00,-1705.4072382050103,-1672.476739185298,0.9036478126860843
2023-06-24 08:30:00,-1777.6261205022663,-1706.5561002977825,0.9024225490516796
2023-06-24 09:00:00,-1707.3777062321185,-1712.6156153590834,0.9022032822261874
2023-06-24 09:30:00,-1616.2574857313357,-1701.6671376676827,0.902599147093497
2023-06-24 10:00:00,-1659.788681969094,-1690.2624986087035,0.9030100260176271
2023-06-24 10:30:00,-1704.0403520402156,-1671.866056493191,0.90366964717274
2023-06-24 11:00:00,-1691.9003884924766,-1667.9967270582806,0.9038078934136402
2023-06-24 11:30:00,-1727.888481077015,-1695.9044758947002,0.9028069485294655
2023-06-24 12:00:00,-1722.0975662507376,-1711.4816969651113,0.9022443462698295
2023-06-24 12:30:00,-1737.5740707828425,-1719.865126650768,0.9019403906692041
2023-06-24 13:00:00,-1694.9043982413789,-1720.6161290879936,0.9019131215723546
2023-06-24 13:30:00,-1707.697325042939,-1715.5683400794744,0.9020962808570002
2023-06-24 14:00:00,-1724.8743679253337,-1716.2625404981236,0.9020711094791412
2023-06-24 14:30:00,-1573.2757676766428,-1675.1879647215735,0.9035508235910038
2023-06-24 15:00:00,-1570.7226655389939,-1644.1425315459774,0.9046564331044669
2023-06-24 15:30:00,-1676.8436990712692,-1636.4291250530598,0.9049294468766355
2023-06-24 16:00:00,-1607.9356187185706,-1607.194437751369,0.9059582130990295
2023-06-24 16:30:00,-1683.9218925459666,-1634.8559689687,0.9049850468332511
2023-06-24 17:00:00,-1793.691558924037,-1690.5981923149607,0.9029979533247594
2023-06-24 17:30:00,-1820.2735558091003,-1726.4556564994186,0.9017008604345045
2023-06-24 18:00:00,-1826.0414487661903,-1780.9821140113236,0.8996992583066555
2023-06-24 18:30:00,-1791.2083669882081,-1807.8037326218841,0.8987014132760557
2023-06-24 19:00:00,-1787.058950309071,-1806.1455804681423,0.8987633594794467
2023-06-24 19:30:00,-1766.5453123663965,-1792.7135196074664,0.8992639058338047
2023-06-24 20:00:00,-1748.8695243644004,-1773.420538507019,0.8999789759774205
2023-06-24 20:30:00,-1745.235102536142,-1761.9272223940025,0.9004028058804009
