,HourlyDryBulbTemperature,HourlyVisibility,HourlyWindSpeed,HourlyWindDirection,HourlyPrecipitation
2023-01-01 00:56:00,0.2766666666666667,1.0,0.20814479638009048,0.2602602602602603,0.0
2023-01-01 01:26:00,0.26833333333333337,1.0,0.17420814479638008,0.2502502502502503,0.0
2023-01-01 01:56:00,0.26,1.0,0.14027149321266968,0.24024024024024024,0.0
2023-01-01 02:26:00,0.26,1.0,0.21040723981900453,0.24524524524524527,0.0
2023-01-01 02:56:00,0.26,1.0,0.28054298642533937,0.2502502502502503,0.0
2023-01-01 03:26:00,0.26833333333333337,1.0,0.3506787330316742,0.2502502502502503,0.0
2023-01-01 03:56:00,0.2766666666666667,1.0,0.42081447963800905,0.2502502502502503,0.0
2023-01-01 03:58:00,0.2766666666666667,1.0,0.42081447963800905,0.2502502502502503,0.0
2023-01-01 04:00:00,0.2766666666666667,1.0,0.42081447963800905,0.2502502502502503,0.0
2023-01-01 04:28:00,0.26833333333333337,1.0,0.3733031674208145,0.2552552552552553,0.0
2023-01-01 04:56:00,0.26,1.0,0.3257918552036199,0.2602602602602603,0.0
2023-01-01 05:26:00,0.26,1.0,0.29185520361990946,0.2652652652652653,0.0
2023-01-01 05:56:00,0.26,1.0,0.25791855203619907,0.2702702702702703,0.0
2023-01-01 06:26:00,0.24000000000000005,1.0,0.2104072398190045,0.2802802802802803,0.0
2023-01-01 06:56:00,0.22000000000000006,1.0,0.16289592760180996,0.2902902902902903,0.0
2023-01-01 07:26:00,0.24000000000000005,1.0,0.11538461538461539,0.2802802802802803,0.0
2023-01-01 07:56:00,0.26,1.0,0.06787330316742081,0.2702702702702703,0.0
2023-01-01 08:26:00,0.2866666666666666,1.0,0.13800904977375567,0.2652652652652653,0.0
2023-01-01 08:56:00,0.3133333333333333,1.0,0.20814479638009048,0.2602602602602603,0.0
2023-01-01 09:26:00,0.33166666666666667,1.0,0.24434389140271492,0.2652652652652653,0.0
2023-01-01 09:56:00,0.35000000000000003,1.0,0.28054298642533937,0.2702702702702703,0.0
2023-01-01 09:58:00,0.35000000000000003,1.0,0.28054298642533937,0.2702702702702703,0.0
2023-01-01 10:00:00,0.35000000000000003,1.0,0.28054298642533937,0.2702702702702703,0.0
2023-01-01 10:28:00,0.3683333333333334,1.0,0.25565610859728505,0.2652652652652653,0.0
2023-01-01 10:56:00,0.38666666666666677,1.0,0.23076923076923073,0.2602602602602603,0.0
2023-01-01 11:26:00,0.38666666666666677,1.0,0.11538461538461536,0.2602602602602603,0.0
2023-01-01 11:56:00,0.38666666666666677,1.0,0.0,0.2602602602602603,0.0
2023-01-01 12:26:00,0.38666666666666677,1.0,0.04751131221719457,0.16016016016016016,0.0
2023-01-01 12:56:00,0.38666666666666677,1.0,0.09502262443438914,0.06006006006006006,0.0
2023-01-01 13:26:00,0.42500000000000004,1.0,0.04751131221719457,0.06006006006006006,0.0
2023-01-01 13:56:00,0.4633333333333333,1.0,0.0,0.06006006006006006,0.0
2023-01-01 14:26:00,0.45333333333333337,1.0,0.16289592760180996,0.16016016016016016,0.0
2023-01-01 14:56:00,0.4433333333333334,1.0,0.3257918552036199,0.2602602602602603,0.0
2023-01-01 15:26:00,0.4150000000000001,1.0,0.3619909502262444,0.2652652652652653,0.0
2023-01-01 15:56:00,0.38666666666666677,1.0,0.3981900452488688,0.2702702702702703,0.0
2023-01-01 15:58:00,0.38666666666666677,1.0,0.3981900452488688,0.2702702702702703,0.0
2023-01-01 16:00:00,0.38666666666666677,1.0,0.3981900452488688,0.2702702702702703,0.0
2023-01-01 16:28:00,0.3600000000000001,1.0,0.4095022624434389,0.2702702702702703,0.0
2023-01-01 16:56:00,0.33333333333333337,1.0,0.42081447963800905,0.2702702702702703,0.0
2023-01-01 17:26:00,0.33333333333333337,1.0,0.3031674208144796,0.2652652652652653,0.0
2023-01-01 17:56:00,0.33333333333333337,1.0,0.1855203619909502,0.2602602602602603,0.0
2023-01-01 18:26:00,0.3416666666666667,1.0,0.17420814479638008,0.2702702702702703,0.0
2023-01-01 18:56:00,0.35000000000000003,1.0,0.16289592760180996,0.2802802802802803,0.0
2023-01-01 19:26:00,0.35000000000000003,1.0,0.12895927601809953,0.2852852852852853,0.0
2023-01-01 19:56:00,0.35000000000000003,1.0,0.09502262443438914,0.2902902902902903,0.0
2023-01-01 20:26:00,0.3416666666666667,1.0,0.11764705882352941,0.2902902902902903,0.0
2023-01-01 20:56:00,0.33333333333333337,1.0,0.14027149321266968,0.2902902902902903,0.0
2023-01-01 21:26:00,0.33333333333333337,1.0,0.14027149321266968,0.2902902902902903,0.0
2023-01-01 21:56:00,0.33333333333333337,1.0,0.14027149321266968,0.2902902902902903,0.0
2023-01-01 21:58:00,0.33333333333333337,1.0,0.14027149321266968,0.2902902902902903,0.0
2023-01-01 22:00:00,0.33333333333333337,1.0,0.14027149321266968,0.2902902902902903,0.0
2023-01-01 22:28:00,0.315,1.0,0.07013574660633484,0.2902902902902903,0.0
2023-01-01 22:56:00,0.29666666666666663,1.0,0.0,0.2902902902902903,0.0
2023-01-01 23:26:00,0.30499999999999994,1.0,0.0,0.2902902902902903,0.0
2023-01-01 23:56:00,0.3133333333333333,1.0,0.0,0.2902902902902903,0.0
2023-01-01 23:58:00,0.3133333333333333,1.0,0.0,0.2902902902902903,0.0
2023-01-02 00:00:00,0.3133333333333333,1.0,0.0,0.2902902902902903,0.0
2023-01-02 00:28:00,0.2866666666666666,1.0,0.04751131221719457,0.2902902902902903,0.0
