,amplitude,smoothed_amplitude,amplitude_log
2023-06-23 04:30:00,-372.7429422582923,-346.4781406147964,0.9049574767885483
2023-06-23 05:00:00,-383.9156436543585,-360.79072835912075,0.9034660541049555
2023-06-23 05:30:00,-330.6485675882769,-356.1621482968277,0.9039502841105739
2023-06-23 06:00:00,-345.60105809576345,-358.22705289917275,0.9037344868390421
2023-06-23 06:30:00,-362.5050041245666,-355.6675683657413,0.904001916953382
2023-06-23 07:00:00,-362.89741546375046,-350.41301131808933,0.9045491887863099
2023-06-23 07:30:00,-352.28029680313597,-355.82094362180413,0.9039859072218894
2023-06-23 08:00:00,-391.9414003576079,-367.40602918726523,0.9027707633051886
2023-06-23 08:30:00,-396.4603328009162,-375.89486135635264,0.9018729549842567
2023-06-23 09:00:00,-370.6671791575663,-377.8373022798066,0.9016666218680166
2023-06-23 09:30:00,-411.62902292244786,-392.6744838096346,0.9000794241950334
2023-06-23 10:00:00,-434.8083798081584,-403.3912286722722,0.8989205644492827
2023-06-23 10:30:00,-457.15373845632615,-418.5645800861247,0.8972615215452862
2023-06-23 11:00:00,-465.0163276396301,-442.15186720664065,0.8946387660917964
2023-06-23 11:30:00,-474.18248619117463,-457.79023302382234,0.8928695875427722
2023-06-23 12:00:00,-493.92663164068074,-472.56979598195295,0.8911746454947969
2023-06-23 12:30:00,-483.5380252109707,-479.16586767061403,0.8904108486733101
2023-06-23 13:00:00,-528.1999987628031,-494.9617854514073,0.8885628910464818
2023-06-23 13:30:00,-479.4804606335234,-496.2862790619945,0.8884067124450095
2023-06-23 14:00:00,-522.5258349258613,-503.4360798832896,0.887560311639617
2023-06-23 14:30:00,-504.95800228696453,-508.79107415228805,0.8869226732014739
2023-06-23 15:00:00,-509.7215665567111,-504.1714661007651,0.8874729356304637
2023-06-23 15:30:00,-439.1334108033325,-494.0847036432174,0.8886662073515428
2023-06-23 16:00:00,-440.237374292106,-473.51258848477846,0.8910657546358882
2023-06-23 16:30:00,-419.5450324149493,-452.1593460167747,0.8935094515818374
2023-06-23 17:00:00,-395.4357364829526,-423.5878884983351,0.896707475252556
2023-06-23 17:30:00,-388.2877043007539,-410.87646187269047,0.898104838330475
2023-06-23 18:00:00,-348.39099432331295,-387.91486688049224,0.9005907414884856
2023-06-23 18:30:00,-299.49246194161526,-357.90172426215867,0.9037685103054861
2023-06-23 19:00:00,-292.3530973428983,-332.1310644771451,0.9064351495869082
2023-06-23 19:30:00,-310.0539957678419,-312.5726373439171,0.9084223100354804
2023-06-23 20:00:00,-250.19108721305702,-288.0226605663531,0.9108734737032046
2023-06-23 20:30:00,-261.53411638745104,-278.53307417781207,0.911808437280963
2023-06-23 21:00:00,-257.6493004898985,-269.8571249645621,0.9126572657671359
2023-06-23 21:30:00,-256.45175479043735,-256.45656472021096,0.9139573067804514
2023-06-23 22:00:00,-237.7473344120589,-253.34562651996146,0.9142572205560582
2023-06-23 22:30:00,-254.43084605552195,-251.56980893697917,0.9144281039565338
2023-06-23 23:00:00,-254.9931777097665,-250.90577824194617,0.9144919433976544
2023-06-23 23:30:00,-288.97194393243996,-259.03582552744683,0.9137081127949661
2023-06-24 00:00:00,-280.17213583021925,-269.6420258819869,0.9126782386292523
2023-06-24 00:30:00,-293.06333028588585,-279.30014693957787,0.9117331160038187
2023-06-24 01:00:00,-319.86323361139364,-295.5176609149847,0.9101301396980641
2023-06-24 01:30:00,-338.21901062541536,-307.82942758822855,0.9088995855086645
2023-06-24 02:00:00,-344.1485414443998,-323.8235289917737,0.9072830003909748
2023-06-24 02:30:00,-397.6045440277516,-349.9588324272401,0.904596382006247
2023-06-24 03:00:00,-320.93726676473614,-350.2273407155758,0.904568483726242
2023-06-24 03:30:00,-291.9818471894699,-338.6680498565894,0.9057640024810614
2023-06-24 04:00:00,-331.76852446478676,-335.5730456116861,0.9060822054770667
2023-06-24 04:30:00,-414.94671512935474,-339.90858838708687,0.9056362366975379
2023-06-24 05:00:00,-1026.8817405578304,-516.3947068353605,0.8860117552460591
2023-06-24 05:30:00,-942.7630902308082,-679.090017595695,0.8647726464671642
