"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/02/06","22:00","3.107","-","3.28"
"2018/02/06","23:00","3.659","-","3.85"
"2018/02/07","00:00","4.001","-","4.22"
"2018/02/07","01:00","4.008","-","4.24"
"2018/02/07","02:00","3.66","-","3.83"
"2018/02/07","03:00","3.065","-","3.23"
"2018/02/07","04:00","2.41","-","2.4"
"2018/02/07","05:00","1.917","-","1.91"
"2018/02/07","06:00","1.739","-","1.75"
"2018/02/07","07:00","1.921","-","2.04"
"2018/02/07","08:00","2.452","-","2.56"
"2018/02/07","09:00","3.236","-","3.36"
"2018/02/07","10:00","4.092","-","4.23"
"2018/02/07","11:00","4.855","-","4.99"
"2018/02/07","12:00","5.386","-","5.5"
"2018/02/07","13:00","5.528","-","5.62"
"2018/02/07","14:00","5.194","-","5.27"
"2018/02/07","15:00","4.439","-","4.52"
"2018/02/07","16:00","3.439","-","3.43"
"2018/02/07","17:00","2.44","-","2.34"
"2018/02/07","18:00","1.673","-","1.65"
"2018/02/07","19:00","1.255","-","1.19"
"2018/02/07","20:00","1.22","-","1.23"
"2018/02/07","21:00","1.528","-","1.57"
"2018/02/07","22:00","2.05","-","2.09"
"2018/02/07","23:00","2.639","-","2.7"
"2018/02/08","00:00","3.204","-","3.33"
"2018/02/08","01:00","3.636","-","3.71"
"2018/02/08","02:00","3.812","-","3.84"
"2018/02/08","03:00","3.688","-","3.67"
"2018/02/08","04:00","3.321","-","3.34"
"2018/02/08","05:00","2.848","-","2.82"
"2018/02/08","06:00","2.458","-","2.43"
"2018/02/08","07:00","2.298","-","2.27"
"2018/02/08","08:00","2.438","-","2.45"
"2018/02/08","09:00","2.894","-","2.95"
"2018/02/08","10:00","3.58","-","3.55"
"2018/02/08","11:00","4.323","-","4.3"
"2018/02/08","12:00","4.977","-","5.01"
"2018/02/08","13:00","5.413","-","5.39"
"2018/02/08","14:00","5.48","-","5.5"
"2018/02/08","15:00","5.1","-","5.14"
"2018/02/08","16:00","4.323","-","4.46"
"2018/02/08","17:00","3.307","-","3.34"
"2018/02/08","18:00","2.285","-","2.35"
"2018/02/08","19:00","1.478","-","1.52"
"2018/02/08","20:00","1.009","-","1.08"
"2018/02/08","21:00","0.925","-","1.03"
"2018/02/08","22:00","1.194","-","1.34"
"2018/02/08","23:00","1.69","-","1.84"
