datetime,arrival,departure,balance
2023-06-21 15:00:00,0.08721804511278196,0.32511869771648205,0.3070530577455785
2023-06-21 15:30:00,0.09707602339181287,0.4869997739091115,0.23705518857873428
2023-06-21 16:00:00,0.10693400167084377,0.6488808501017409,0.16705731941189006
2023-06-21 16:30:00,0.14502923976608187,0.7855527922224734,0.12694438525463456
2023-06-21 17:00:00,0.18312447786131997,0.922224734343206,0.08683145109737908
2023-06-21 17:30:00,0.15639097744360902,0.7817092471173411,0.13600042616663116
2023-06-21 18:00:00,0.12965747702589808,0.6411937598914764,0.18516940123588324
2023-06-21 18:30:00,0.08663324979114453,0.47354736604114855,0.2367355636053697
2023-06-21 19:00:00,0.04360902255639098,0.3059009721908207,0.28830172597485615
2023-06-21 19:30:00,0.03015873015873016,0.2326475243047705,0.3142446196462817
2023-06-21 20:00:00,0.01670843776106934,0.15939407641872033,0.34018751331770725
2023-06-21 20:30:00,0.017126148705096073,0.14763735021478636,0.34599403366716386
2023-06-21 21:00:00,0.017543859649122806,0.13588062401085235,0.3518005540166205
2023-06-21 21:30:00,0.01804511278195489,0.18109880171829076,0.33081184743234604
2023-06-21 22:00:00,0.018546365914786967,0.22631697942572915,0.3098231408480716
2023-06-21 22:30:00,0.013283208020050126,0.17194212073253448,0.3320903473258044
2023-06-21 23:00:00,0.008020050125313283,0.11756726203933981,0.3543575538035372
2023-06-21 23:30:00,0.005012531328320802,0.06952294822518652,0.37507990624334114
2023-06-22 00:00:00,0.0020050125313283208,0.021478634411033235,0.3958022586831451
2023-06-22 00:30:00,0.0011695906432748538,0.01322631697942573,0.39915832090347325
2023-06-22 01:00:00,0.0003341687552213868,0.004973999547818223,0.4025143831238014
2023-06-22 01:30:00,0.0005012531328320802,0.004371090511719044,0.40290503586902476
2023-06-22 02:00:00,0.0006683375104427736,0.003768181475619866,0.4032956886142482
2023-06-22 02:30:00,0.000835421888053467,0.0031652724395206874,0.40368634135947157
2023-06-22 03:00:00,0.0010025062656641604,0.002562363403421509,0.40407699410469494
2023-06-22 03:30:00,0.0011695906432748538,0.0019594543673223303,0.4044676468499183
2023-06-22 04:00:00,0.0013366750208855473,0.0013565453312231518,0.4048582995951417
2023-06-22 04:30:00,0.04152046783625731,0.0035044087723264754,0.4294694225442148
2023-06-22 05:00:00,0.08170426065162907,0.005652272213429799,0.45408054549328786
2023-06-22 05:30:00,0.14486215538847116,0.011078453538322406,0.491796292350309
2023-06-22 06:00:00,0.20802005012531327,0.016504634863215014,0.52951203920733
2023-06-22 06:30:00,0.3240601503759398,0.027583088401537417,0.59828467930961
2023-06-22 07:00:00,0.44010025062656644,0.03866154193985982,0.6670573194118901
2023-06-22 07:30:00,0.616624895572264,0.0534704951390459,0.7726401022799915
2023-06-22 08:00:00,0.7931495405179616,0.06827944833823196,0.8782228851480929
2023-06-22 08:30:00,0.6460317460317461,0.06319240334614515,0.7868101427658214
2023-06-22 09:00:00,0.4989139515455305,0.058105358354058334,0.6953974003835499
2023-06-22 09:30:00,0.4027568922305764,0.05573140402441781,0.6352013637332197
2023-06-22 10:00:00,0.3065998329156224,0.0533574496947773,0.5750053270828894
2023-06-22 10:30:00,0.31186299081035923,0.04951390458964504,0.5801725974856169
2023-06-22 11:00:00,0.3171261487050961,0.04567035948451277,0.5853398678883444
2023-06-22 11:30:00,0.2568922305764411,0.057427085688446754,0.5413914340507139
2023-06-22 12:00:00,0.19665831244778614,0.06918381189238074,0.4974430002130833
2023-06-22 12:30:00,0.14745196324143692,0.0844449468686412,0.45887492009375663
2023-06-22 13:00:00,0.09824561403508772,0.09970608184490165,0.42030683997443
2023-06-22 13:30:00,0.08429406850459482,0.13870676011756727,0.393032175580652
2023-06-22 14:00:00,0.07034252297410191,0.17770743839023287,0.36575751118687405
2023-06-22 14:30:00,0.07234753550543024,0.2891702464390685,0.31451097379075216
2023-06-22 15:00:00,0.07435254803675856,0.40063305448790415,0.2632644363946303
2023-06-22 15:30:00,0.08512949039264829,0.5872710829753561,0.18218623481781376
2023-06-22 16:00:00,0.09590643274853801,0.773909111462808,0.10110803324099724
2023-06-22 16:30:00,0.10367585630743525,0.8425276961338458,0.07372682718943106
2023-06-22 17:00:00,0.1114452798663325,0.9111462808048836,0.046345621137864904
2023-06-22 17:30:00,0.09649122807017543,0.7924485643228578,0.09274451310462391
2023-06-22 18:00:00,0.08153717627401838,0.6737508478408321,0.1391434050713829
2023-06-22 18:30:00,0.057560568086883875,0.5083653628758761,0.20178989985084167
2023-06-22 19:00:00,0.033583959899749376,0.3429798779109202,0.26443639463030044
2023-06-22 19:30:00,0.028404344193817876,0.2621523852588741,0.29922224589814617
2023-06-22 20:00:00,0.023224728487886384,0.18132489260682794,0.3340080971659919
2023-06-22 20:30:00,0.019548872180451128,0.14164594166855077,0.3503622416364799
2023-06-22 21:00:00,0.015873015873015872,0.10196699073027357,0.36671638610696783
2023-06-22 21:30:00,0.013951545530492899,0.09541035496269501,0.3685808651182612
2023-06-22 22:00:00,0.012030075187969926,0.08885371919511643,0.37044534412955465
2023-06-22 22:30:00,0.008437761069340017,0.07506217499434772,0.37465373961218834
2023-06-22 23:00:00,0.0048454469507101085,0.06127063079357902,0.3788621350948221
2023-06-22 23:30:00,0.0029239766081871343,0.03809631471851684,0.38855742595354786
2023-06-23 00:00:00,0.0010025062656641604,0.014921998643454669,0.3982527168122736
2023-06-23 00:30:00,0.0006683375104427736,0.009947999095636446,0.4003835499680375
2023-06-23 01:00:00,0.0003341687552213868,0.004973999547818223,0.4025143831238014
