Date,Color,Hex,Notes
6/1/2023,,#ffbf00,Golden Hills
7/1/2023,,#cdcdcd,
8/1/2023,,#ff945d,
9/1/2023,,#b04f47,
10/1/2023,,#a583ff,
11/1/2023,,#6076ff,
12/1/2023,,#737373,
1/1/2024,,#84d3ff,
2/1/2024,,#e900ff,
3/1/2024,,#b2ff00,
4/1/2024,,#2ea20a,
5/1/2024,,#fffa6d,
6/1/2024,,#8ace00,
