,temp,rain_1h,clouds_all,dt
39077,0.38404286990175546,0.0,0.02,2022-06-24 05:00:00-07:00
39078,0.3637987496278659,0.0,0.07,2022-06-24 06:00:00-07:00
39079,0.35308127418874674,0.0,0.05,2022-06-24 07:00:00-07:00
39080,0.33462339982137534,0.0,0.11,2022-06-24 08:00:00-07:00
39081,0.32271509377791074,0.0,0.08,2022-06-24 09:00:00-07:00
39082,0.31289074129205063,0.0,0.99,2022-06-24 10:00:00-07:00
39083,0.3119976183387915,0.0,0.94,2022-06-24 11:00:00-07:00
39084,0.31884489431378293,0.0,0.95,2022-06-24 12:00:00-07:00
39085,0.3143792795474841,0.0,1.0,2022-06-24 13:00:00-07:00
39086,0.3194403096159574,0.0,0.99,2022-06-24 14:00:00-07:00
39087,0.3941649300387019,0.0,0.85,2022-06-24 15:00:00-07:00
39088,0.43673712414409055,0.0,0.65,2022-06-24 16:00:00-07:00
39089,0.5034236379874966,0.0,0.52,2022-06-24 17:00:00-07:00
39090,0.543614170884191,0.0,0.44,2022-06-24 18:00:00-07:00
39091,0.537957725513545,0.0,0.34,2022-06-24 19:00:00-07:00
39092,0.5698124441798145,0.0,0.36,2022-06-24 20:00:00-07:00
39093,0.5677284906222082,0.0,0.44,2022-06-24 21:00:00-07:00
39094,0.5582018457874363,0.0,0.52,2022-06-24 22:00:00-07:00
39095,0.5477820779994034,0.0,0.25,2022-06-24 23:00:00-07:00
39096,0.559094968740697,0.0,0.07,2022-06-25 00:00:00-07:00
39097,0.5376600178624587,0.0,0.04,2022-06-25 01:00:00-07:00
39098,0.4760345340875259,0.0,0.04,2022-06-25 02:00:00-07:00
39099,0.41708841917237205,0.0,0.01,2022-06-25 03:00:00-07:00
39100,0.38106579339089014,0.0,0.01,2022-06-25 04:00:00-07:00
39101,0.36260791902351874,0.0,0.01,2022-06-25 05:00:00-07:00
39102,0.35129502828222686,0.0,0.01,2022-06-25 06:00:00-07:00
39103,0.3533789818398331,0.0,0.01,2022-06-25 07:00:00-07:00
39104,0.32866924679964304,0.0,0.01,2022-06-25 08:00:00-07:00
39105,0.3179517713605239,0.0,0.03,2022-06-25 09:00:00-07:00
39106,0.30098243524858603,0.0,0.98,2022-06-25 10:00:00-07:00
39107,0.3039595117594513,0.0,1.0,2022-06-25 11:00:00-07:00
39108,0.31289074129205063,0.0,1.0,2022-06-25 12:00:00-07:00
39109,0.3140815718963978,0.0,1.0,2022-06-25 13:00:00-07:00
39110,0.31050908008335804,0.0,1.0,2022-06-25 14:00:00-07:00
39111,0.3486156594224462,0.0,1.0,2022-06-25 15:00:00-07:00
39112,0.40339386722238757,0.0,0.67,2022-06-25 16:00:00-07:00
39113,0.4322715093777901,0.0,0.52,2022-06-25 17:00:00-07:00
39114,0.4745459958320924,0.0,0.49,2022-06-25 18:00:00-07:00
39115,0.49657636201250344,0.0,0.44,2022-06-25 19:00:00-07:00
