Datetime,m,sec,sec.1,degC,degC.1,deg,degC.1_rolling
2024-02-07 09:30:00,0.33557046979865773,0.7033671833244255,0.37931034482758624,0.3108108108108108,0.4285714285714287,0.6984126984126984,0.3157208088714939
2024-02-07 10:00:00,0.3221476510067114,0.7033671833244255,0.3924466338259442,0.3108108108108108,0.4285714285714287,0.7301587301587301,0.31800391389432486
2024-02-07 10:30:00,0.3758389261744966,0.784072688401924,0.4408866995073892,0.3108108108108108,0.4285714285714287,0.6984126984126984,0.31930854533594255
2024-02-07 11:00:00,0.36073825503355705,0.7033671833244255,0.3620689655172414,0.31756756756756754,0.43877551020408173,0.7222222222222222,0.3212654924983692
2024-02-07 11:30:00,0.3808724832214765,0.7033671833244255,0.3916256157635468,0.3108108108108108,0.43877551020408173,0.6825396825396826,0.3232224396607957
2024-02-07 12:00:00,0.3590604026845637,0.7033671833244255,0.38341543513957316,0.3108108108108108,0.43877551020408173,0.7619047619047619,0.32550554468362686
2024-02-07 12:30:00,0.337248322147651,0.7033671833244255,0.3817733990147783,0.3243243243243243,0.43877551020408173,0.7619047619047619,0.3277886497064578
2024-02-07 13:00:00,0.40939597315436244,0.7033671833244255,0.5172413793103449,0.3378378378378379,0.43877551020408173,0.7936507936507936,0.33007175472928896
2024-02-07 13:30:00,0.37080536912751677,0.6344200962052379,0.4646962233169129,0.34459459459459457,0.43877551020408173,0.753968253968254,0.33235485975211987
2024-02-07 14:00:00,0.31543624161073824,0.7033671833244255,0.40886699507389157,0.33108108108108114,0.43877551020408173,0.7777777777777778,0.3343118069145466
2024-02-07 14:30:00,0.30536912751677847,0.6344200962052379,0.37520525451559933,0.3243243243243243,0.43877551020408173,0.7698412698412699,0.33594259621656875
2024-02-07 15:00:00,0.3171140939597315,0.6344200962052379,0.3916256157635468,0.3243243243243243,0.43877551020408173,0.7619047619047619,0.33757338551859095
2024-02-07 15:30:00,0.31208053691275167,0.576162479957242,0.3858784893267652,0.3243243243243243,0.43877551020408173,0.753968253968254,0.3392041748206132
2024-02-07 16:00:00,0.30536912751677847,0.6344200962052379,0.4490968801313629,0.31756756756756754,0.43877551020408173,0.7777777777777778,0.34083496412263536
2024-02-07 16:30:00,0.2919463087248322,0.6344200962052379,0.48029556650246313,0.22297297297297292,0.43877551020408173,0.7698412698412699,0.34213959556425305
2024-02-07 17:00:00,0.3171140939597315,0.576162479957242,0.5024630541871922,0.17567567567567566,0.4285714285714287,0.7936507936507936,0.34344422700587085
2024-02-07 17:30:00,0.30369127516778527,0.7033671833244255,0.47947454844006576,0.17567567567567566,0.4285714285714287,0.7936507936507936,0.3444227005870842
2024-02-07 18:00:00,0.2684563758389262,0.7033671833244255,0.4490968801313629,0.24324324324324323,0.4285714285714287,0.7857142857142857,0.34474885844748854
2024-02-07 18:30:00,0.27013422818791943,0.6344200962052379,0.4220032840722496,0.24324324324324323,0.4285714285714287,0.7380952380952381,0.3444227005870842
2024-02-07 19:00:00,0.3305369127516778,0.7033671833244255,0.46551724137931044,0.24324324324324323,0.43877551020408173,0.7857142857142857,0.3444227005870842
2024-02-07 19:30:00,0.2902684563758389,0.576162479957242,0.4220032840722496,0.24324324324324323,0.43877551020408173,0.7301587301587301,0.34344422700587085
2024-02-07 20:00:00,0.32550335570469796,0.576162479957242,0.43185550082101815,0.24324324324324323,0.43877551020408173,0.7063492063492064,0.34246575342465746
2024-02-07 20:30:00,0.33557046979865773,0.576162479957242,0.40394088669950745,0.24324324324324323,0.43877551020408173,0.7301587301587301,0.3418134377038487
2024-02-07 21:00:00,0.3422818791946309,0.7033671833244255,0.38423645320197053,0.3378378378378379,0.4489795918367348,0.746031746031746,0.3411611219830397
2024-02-07 21:30:00,0.30704697986577184,0.7033671833244255,0.3555008210180624,0.3513513513513513,0.4489795918367348,0.7777777777777778,0.3405088062622309
2024-02-07 22:00:00,0.3557046979865771,0.6344200962052379,0.36535303776683087,0.31756756756756754,0.4591836734693878,0.7936507936507936,0.3405088062622309
2024-02-07 22:30:00,0.34395973154362414,0.6344200962052379,0.3333333333333333,0.3108108108108108,0.4591836734693878,0.8174603174603174,0.34083496412263525
2024-02-07 23:00:00,0.3523489932885906,0.6344200962052379,0.3251231527093596,0.22297297297297292,0.4489795918367348,0.7698412698412699,0.3411611219830397
2024-02-07 23:30:00,0.37080536912751677,0.576162479957242,0.32594417077175697,0.29729729729729737,0.43877551020408173,0.753968253968254,0.3411611219830397
2024-02-08 00:00:00,0.3389261744966443,0.6344200962052379,0.29802955665024633,0.3108108108108108,0.43877551020408173,0.753968253968254,0.3418134377038486
2024-02-08 00:30:00,0.3624161073825503,0.7033671833244255,0.3234811165845649,0.30405405405405406,0.43877551020408173,0.753968253968254,0.3424657534246574
2024-02-08 01:00:00,0.3791946308724832,0.6344200962052379,0.3267651888341544,0.2905405405405405,0.43877551020408173,0.7698412698412699,0.34344422700587085
2024-02-08 01:30:00,0.3573825503355705,0.6344200962052379,0.3095238095238096,0.30405405405405406,0.43877551020408173,0.746031746031746,0.3444227005870842
2024-02-08 02:00:00,0.37080536912751677,0.6344200962052379,0.3160919540229885,0.30405405405405406,0.43877551020408173,0.8174603174603174,0.3454011741682974
2024-02-08 02:30:00,0.3842281879194631,0.6344200962052379,0.31280788177339897,0.2905405405405405,0.43877551020408173,0.7619047619047619,0.34637964774951074
2024-02-08 03:00:00,0.3640939597315436,0.7033671833244255,0.2996715927750411,0.29729729729729737,0.43877551020408173,0.7936507936507936,0.3473581213307241
