time,sst_at_location,sst_offshore,sst_upwelling_dif
2023-06-21 09:00:00,286.789,289.352,-2.562999999999988
2023-06-22 09:00:00,286.62,289.137,-2.516999999999996
2023-06-23 09:00:00,286.23999999999995,289.145,-2.9050000000000296
2023-06-24 09:00:00,285.941,289.524,-3.583000000000027
2023-06-25 09:00:00,286.207,289.525,-3.3179999999999836
2023-06-26 09:00:00,285.83599999999996,289.719,-3.883000000000038
2023-06-27 09:00:00,285.55199999999996,290.32399999999996,-4.771999999999991
2023-06-28 09:00:00,285.137,290.06199999999995,-4.9249999999999545
2023-06-29 09:00:00,284.953,290.455,-5.5020000000000095
2023-06-30 09:00:00,284.89099999999996,291.04299999999995,-6.151999999999987
2023-07-01 09:00:00,285.868,291.01,-5.141999999999996
2023-07-02 09:00:00,286.27099999999996,290.86199999999997,-4.591000000000008
2023-07-03 09:00:00,286.715,290.26399999999995,-3.548999999999978
2023-07-04 09:00:00,286.733,290.19899999999996,-3.4659999999999513
2023-07-05 09:00:00,286.602,290.042,-3.4399999999999977
2023-07-06 09:00:00,286.52099999999996,289.755,-3.2340000000000373
2023-07-07 09:00:00,286.45599999999996,289.952,-3.4960000000000377
2023-07-08 09:00:00,286.47799999999995,290.291,-3.813000000000045
2023-07-09 09:00:00,286.397,290.38,-3.983000000000004
2023-07-10 09:00:00,286.55199999999996,290.493,-3.941000000000031
2023-07-11 09:00:00,286.537,290.94199999999995,-4.404999999999973
2023-07-12 09:00:00,286.556,291.056,-4.5
2023-07-13 09:00:00,286.243,292.29699999999997,-6.053999999999974
2023-07-14 09:00:00,285.493,293.34,-7.84699999999998
2023-07-15 09:00:00,285.488,293.279,-7.790999999999997
2023-07-16 09:00:00,287.46099999999996,293.313,-5.852000000000032
2023-07-17 09:00:00,287.697,293.433,-5.73599999999999
2023-07-18 09:00:00,287.70399999999995,293.503,-5.799000000000035
2023-07-19 09:00:00,287.71,293.637,-5.927000000000021
2023-07-20 09:00:00,287.44899999999996,294.33099999999996,-6.882000000000005
2023-07-21 09:00:00,286.731,294.30199999999996,-7.5709999999999695
2023-07-22 09:00:00,286.628,294.28799999999995,-7.659999999999968
2023-07-23 09:00:00,286.308,294.21799999999996,-7.909999999999968
2023-07-24 09:00:00,287.053,294.364,-7.310999999999979
2023-07-25 09:00:00,287.012,294.28999999999996,-7.277999999999963
2023-07-26 09:00:00,286.897,294.099,-7.201999999999998
2023-07-27 09:00:00,286.837,294.044,-7.206999999999994
2023-07-28 09:00:00,286.787,294.131,-7.343999999999994
2023-07-29 09:00:00,286.457,294.63899999999995,-8.18199999999996
2023-07-30 09:00:00,286.082,294.846,-8.76400000000001
2023-07-31 09:00:00,285.959,294.883,-8.923999999999978
2023-08-01 09:00:00,286.07599999999996,294.99399999999997,-8.918000000000006
2023-08-02 09:00:00,286.352,295.22799999999995,-8.875999999999976
2023-08-03 09:00:00,286.763,295.212,-8.449000000000012
2023-08-04 09:00:00,286.481,295.78799999999995,-9.30699999999996
2023-08-05 09:00:00,286.33,295.895,-9.564999999999998
2023-08-06 09:00:00,285.905,296.09499999999997,-10.189999999999998
2023-08-07 09:00:00,285.183,296.214,-11.031000000000006
2023-08-08 09:00:00,285.154,296.147,-10.992999999999995
2023-08-09 09:00:00,287.822,295.741,-7.918999999999983
2023-08-10 09:00:00,287.61499999999995,295.625,-8.010000000000048
2023-08-11 09:00:00,287.623,296.019,-8.396000000000015
2023-08-12 09:00:00,287.67699999999996,295.977,-8.300000000000011
2023-08-13 09:00:00,287.83099999999996,295.787,-7.956000000000017
2023-08-14 09:00:00,288.35699999999997,295.775,-7.418000000000006
2023-08-15 09:00:00,288.74699999999996,295.623,-6.876000000000033
2023-08-16 09:00:00,288.78799999999995,295.03999999999996,-6.2520000000000095
2023-08-17 09:00:00,288.83,294.97999999999996,-6.149999999999977
2023-08-18 09:00:00,288.995,294.881,-5.885999999999967
2023-08-19 09:00:00,289.279,294.673,-5.3940000000000055
2023-08-20 09:00:00,289.234,294.25,-5.0160000000000196
2023-08-21 09:00:00,289.335,293.83099999999996,-4.495999999999981
2023-08-22 09:00:00,289.959,293.844,-3.884999999999991
2023-08-23 09:00:00,290.015,293.589,-3.5740000000000123
2023-08-24 09:00:00,289.952,293.46799999999996,-3.5159999999999627
2023-08-25 09:00:00,289.734,293.541,-3.8070000000000164
2023-08-26 09:00:00,289.74699999999996,293.71,-3.9630000000000223
2023-08-27 09:00:00,289.73499999999996,293.904,-4.16900000000004
2023-08-28 09:00:00,289.33599999999996,293.895,-4.559000000000026
2023-08-29 09:00:00,288.76399999999995,294.354,-5.590000000000032
2023-08-30 09:00:00,288.75899999999996,294.30499999999995,-5.545999999999992
2023-08-31 09:00:00,286.78,294.31,-7.53000000000003
2023-09-01 09:00:00,287.025,294.27299999999997,-7.2479999999999905
2023-09-02 09:00:00,287.328,294.207,-6.879000000000019
2023-09-03 09:00:00,287.74699999999996,294.029,-6.282000000000039
2023-09-04 09:00:00,288.169,294.17699999999996,-6.007999999999981
2023-09-05 09:00:00,288.38599999999997,294.13399999999996,-5.7479999999999905
2023-09-06 09:00:00,288.344,293.816,-5.47199999999998
2023-09-07 09:00:00,288.65799999999996,293.792,-5.1340000000000146
2023-09-08 09:00:00,288.52099999999996,294.58099999999996,-6.060000000000002
2023-09-09 09:00:00,288.436,294.84799999999996,-6.411999999999978
2023-09-10 09:00:00,288.69399999999996,294.959,-6.265000000000043
2023-09-11 09:00:00,288.914,294.914,-6.0
2023-09-12 09:00:00,288.815,294.97799999999995,-6.162999999999954
2023-09-13 09:00:00,288.513,295.07599999999996,-6.562999999999988
2023-09-14 09:00:00,288.202,295.04699999999997,-6.84499999999997
2023-09-15 09:00:00,288.145,295.08799999999997,-6.942999999999984
2023-09-16 09:00:00,288.87,294.87899999999996,-6.008999999999958
2023-09-17 09:00:00,288.791,294.537,-5.745999999999981
2023-09-18 09:00:00,288.83,294.589,-5.7590000000000146
2023-09-19 09:00:00,289.084,294.60499999999996,-5.520999999999958
2023-09-20 09:00:00,289.049,294.64099999999996,-5.5919999999999845
2023-09-21 09:00:00,288.659,294.375,-5.716000000000008
2023-09-22 09:00:00,288.566,294.128,-5.562000000000012
2023-09-23 09:00:00,289.06699999999995,294.07399999999996,-5.007000000000005
2023-09-24 09:00:00,289.885,293.84099999999995,-3.9559999999999604
2023-09-25 09:00:00,290.02099999999996,293.917,-3.896000000000015
2023-09-26 09:00:00,289.93899999999996,293.86499999999995,-3.9259999999999877
2023-09-27 09:00:00,289.77099999999996,293.751,-3.980000000000018
2023-09-28 09:00:00,289.47999999999996,293.78799999999995,-4.307999999999993
2023-09-29 09:00:00,288.905,293.923,-5.018000000000029
2023-09-30 09:00:00,288.31199999999995,294.065,-5.753000000000043
2023-10-01 09:00:00,287.409,294.05699999999996,-6.647999999999968
2023-10-02 09:00:00,287.88199999999995,293.483,-5.601000000000056
2023-10-03 09:00:00,288.077,293.25199999999995,-5.1749999999999545
2023-10-04 09:00:00,288.71,293.171,-4.461000000000013
2023-10-05 09:00:00,289.14799999999997,292.983,-3.8350000000000364
2023-10-06 09:00:00,289.45099999999996,292.85699999999997,-3.406000000000006
2023-10-07 09:00:00,289.625,292.94899999999996,-3.3239999999999554
2023-10-08 09:00:00,289.59999999999997,293.03499999999997,-3.4350000000000023
2023-10-09 09:00:00,288.977,293.017,-4.0400000000000205
2023-10-10 09:00:00,288.554,292.943,-4.38900000000001
2023-10-11 09:00:00,288.44399999999996,292.87,-4.426000000000045
2023-10-12 09:00:00,288.287,292.91299999999995,-4.625999999999976
2023-10-13 09:00:00,288.04299999999995,292.923,-4.880000000000052
2023-10-14 09:00:00,288.09,293.063,-4.973000000000013
2023-10-15 09:00:00,288.453,292.549,-4.096000000000004
2023-10-16 09:00:00,288.84799999999996,292.375,-3.5270000000000437
2023-10-17 09:00:00,288.79699999999997,293.03,-4.233000000000004
2023-10-18 09:00:00,288.83099999999996,293.058,-4.227000000000032
2023-10-19 09:00:00,288.851,293.017,-4.165999999999997
2023-10-20 09:00:00,288.78,292.844,-4.064000000000021
2023-10-21 09:00:00,288.738,292.66999999999996,-3.9319999999999595
2023-10-22 09:00:00,289.08,292.7,-3.6200000000000045
2023-10-23 09:00:00,289.065,292.76399999999995,-3.6989999999999554
2023-10-24 09:00:00,288.878,292.48199999999997,-3.603999999999985
2023-10-25 09:00:00,288.457,292.407,-3.9499999999999886
2023-10-26 09:00:00,288.155,292.52299999999997,-4.367999999999995
2023-10-27 09:00:00,287.76099999999997,292.55899999999997,-4.798000000000002
2023-10-28 09:00:00,287.123,292.58599999999996,-5.462999999999965
2023-10-29 09:00:00,287.097,292.616,-5.5190000000000055
2023-10-30 09:00:00,286.95799999999997,292.584,-5.626000000000033
2023-10-31 09:00:00,287.01399999999995,292.459,-5.44500000000005
2023-11-01 09:00:00,287.18199999999996,292.455,-5.273000000000025
2023-11-02 09:00:00,287.65,292.443,-4.793000000000006
2023-11-03 09:00:00,287.86899999999997,292.549,-4.680000000000007
2023-11-04 09:00:00,288.176,292.566,-4.389999999999986
2023-11-05 09:00:00,288.602,292.546,-3.944000000000017
2023-11-06 09:00:00,288.616,292.578,-3.961999999999989
2023-11-07 09:00:00,288.35999999999996,292.61499999999995,-4.2549999999999955
2023-11-08 09:00:00,288.027,292.642,-4.615000000000009
2023-11-09 09:00:00,288.05899999999997,292.654,-4.595000000000027
2023-11-10 09:00:00,287.965,292.46099999999996,-4.495999999999981
2023-11-11 09:00:00,287.974,291.767,-3.7930000000000064
2023-11-12 09:00:00,287.85699999999997,291.89,-4.0330000000000155
2023-11-13 09:00:00,287.505,291.91999999999996,-4.414999999999964
2023-11-14 09:00:00,287.30199999999996,291.92499999999995,-4.6229999999999905
2023-11-15 09:00:00,287.42199999999997,291.816,-4.3940000000000055
2023-11-16 09:00:00,287.381,291.47499999999997,-4.093999999999994
2023-11-17 09:00:00,288.018,291.26099999999997,-3.242999999999995
2023-11-18 09:00:00,288.20599999999996,291.28799999999995,-3.0819999999999936
2023-11-19 09:00:00,288.13,291.209,-3.0790000000000077
2023-11-20 09:00:00,288.03499999999997,290.85699999999997,-2.8220000000000027
2023-11-21 09:00:00,288.008,290.87399999999997,-2.8659999999999854
2023-11-22 09:00:00,287.90599999999995,290.861,-2.955000000000041
2023-11-23 09:00:00,287.66299999999995,290.83,-3.16700000000003
2023-11-24 09:00:00,287.64099999999996,291.18699999999995,-3.5459999999999923
2023-11-25 09:00:00,287.59499999999997,291.22499999999997,-3.6299999999999955
2023-11-26 09:00:00,287.51599999999996,291.113,-3.597000000000037
2023-11-27 09:00:00,287.46999999999997,290.5,-3.0300000000000296
2023-11-28 09:00:00,287.474,289.976,-2.5020000000000095
2023-11-29 09:00:00,287.476,289.971,-2.4950000000000045
2023-11-30 09:00:00,287.09999999999997,290.078,-2.9780000000000086
2023-12-01 09:00:00,286.972,290.26399999999995,-3.291999999999973
2023-12-02 09:00:00,287.099,290.334,-3.2350000000000136
2023-12-03 09:00:00,287.358,289.77,-2.4119999999999777
2023-12-04 09:00:00,287.715,289.371,-1.656000000000006
2023-12-05 09:00:00,287.86699999999996,288.87,-1.0030000000000427
2023-12-06 09:00:00,287.661,288.779,-1.117999999999995
2023-12-07 09:00:00,287.787,289.114,-1.3269999999999982
2023-12-08 09:00:00,287.81399999999996,289.11499999999995,-1.3009999999999877
2023-12-09 09:00:00,287.424,289.149,-1.7250000000000227
2023-12-10 09:00:00,287.344,289.174,-1.829999999999984
2023-12-11 09:00:00,287.55499999999995,289.173,-1.6180000000000518
2023-12-12 09:00:00,287.52099999999996,289.188,-1.66700000000003
2023-12-13 09:00:00,287.58599999999996,289.174,-1.5880000000000223
2023-12-14 09:00:00,287.57,289.33,-1.759999999999991
2023-12-15 09:00:00,287.55499999999995,289.563,-2.008000000000038
2023-12-16 09:00:00,287.47299999999996,288.683,-1.2100000000000364
2023-12-17 09:00:00,287.503,289.005,-1.5020000000000095
2023-12-18 09:00:00,287.27,289.16299999999995,-1.8929999999999723
2023-12-19 09:00:00,287.36899999999997,289.12199999999996,-1.752999999999986
2023-12-20 09:00:00,287.00699999999995,288.664,-1.657000000000039
2023-12-21 09:00:00,286.9,288.52799999999996,-1.627999999999986
2023-12-22 09:00:00,286.933,288.455,-1.5219999999999914
2023-12-23 09:00:00,287.15,288.573,-1.4230000000000018
2023-12-24 09:00:00,287.14799999999997,288.68699999999995,-1.5389999999999873
2023-12-25 09:00:00,287.118,289.00699999999995,-1.8889999999999532
2023-12-26 09:00:00,286.92499999999995,289.096,-2.171000000000049
2023-12-27 09:00:00,287.349,288.758,-1.4089999999999918
2023-12-28 09:00:00,287.029,287.66799999999995,-0.6389999999999532
2023-12-29 09:00:00,287.152,287.92499999999995,-0.7729999999999677
2023-12-30 09:00:00,287.145,288.00399999999996,-0.8589999999999804
2023-12-31 09:00:00,287.0,287.614,-0.6139999999999759
2024-01-01 09:00:00,286.931,287.679,-0.7479999999999905
2024-01-02 09:00:00,287.05199999999996,287.88899999999995,-0.8369999999999891
2024-01-03 09:00:00,287.00899999999996,287.73199999999997,-0.7230000000000132
2024-01-04 09:00:00,286.979,287.604,-0.625
2024-01-05 09:00:00,286.76399999999995,287.515,-0.7510000000000332
2024-01-06 09:00:00,286.62,287.623,-1.002999999999986
2024-01-07 09:00:00,286.56699999999995,287.756,-1.1890000000000214
2024-01-08 09:00:00,286.48999999999995,287.765,-1.275000000000034
2024-01-09 09:00:00,286.45799999999997,288.019,-1.5610000000000355
2024-01-10 09:00:00,286.03799999999995,288.01399999999995,-1.975999999999999
2024-01-11 09:00:00,285.892,287.98499999999996,-2.092999999999961
2024-01-12 09:00:00,285.832,287.90799999999996,-2.075999999999965
2024-01-13 09:00:00,285.87199999999996,287.72999999999996,-1.858000000000004
2024-01-14 09:00:00,285.503,287.54999999999995,-2.0469999999999686
2024-01-15 09:00:00,285.277,287.452,-2.1750000000000114
2024-01-16 09:00:00,285.335,287.52099999999996,-2.1859999999999786
2024-01-17 09:00:00,285.364,287.393,-2.0289999999999964
2024-01-18 09:00:00,285.573,287.429,-1.8559999999999945
2024-01-19 09:00:00,285.931,287.368,-1.4370000000000118
2024-01-20 09:00:00,285.88899999999995,287.005,-1.1160000000000423
2024-01-21 09:00:00,285.947,286.99899999999997,-1.051999999999964
2024-01-22 09:00:00,286.13399999999996,286.974,-0.8400000000000318
2024-01-23 09:00:00,286.375,286.98699999999997,-0.6119999999999663
2024-01-24 09:00:00,286.378,287.363,-0.9850000000000136
2024-01-25 09:00:00,286.269,287.251,-0.9819999999999709
2024-01-26 09:00:00,286.275,287.34999999999997,-1.0749999999999886
2024-01-27 09:00:00,286.70599999999996,287.40099999999995,-0.6949999999999932
2024-01-28 09:00:00,287.69399999999996,287.356,0.33799999999996544
2024-01-29 09:00:00,287.71099999999996,287.55499999999995,0.1560000000000059
2024-01-30 09:00:00,287.60699999999997,287.44399999999996,0.16300000000001091
2024-01-31 09:00:00,286.99699999999996,287.28099999999995,-0.2839999999999918
2024-02-01 09:00:00,286.265,287.318,-1.0529999999999973
2024-02-02 09:00:00,286.40099999999995,287.22799999999995,-0.8269999999999982
2024-02-03 09:00:00,286.489,286.962,-0.4730000000000132
2024-02-04 09:00:00,286.40099999999995,286.86699999999996,-0.4660000000000082
2024-02-05 09:00:00,286.41499999999996,286.953,-0.5380000000000109
2024-02-06 09:00:00,286.512,287.00399999999996,-0.4919999999999618
2024-02-07 09:00:00,286.322,286.907,-0.5849999999999795
2024-02-08 09:00:00,286.337,286.808,-0.47100000000000364
2024-02-09 09:00:00,286.419,287.039,-0.6200000000000045
2024-02-10 09:00:00,286.47999999999996,287.267,-0.7870000000000346
2024-02-11 09:00:00,286.435,287.155,-0.7199999999999704
2024-02-12 09:00:00,286.02799999999996,287.018,-0.9900000000000091
2024-02-13 09:00:00,286.03799999999995,286.755,-0.7170000000000414
2024-02-14 09:00:00,286.203,286.453,-0.25
2024-02-15 09:00:00,286.429,286.37199999999996,0.05700000000001637
2024-02-16 09:00:00,286.548,286.358,0.18999999999999773
2024-02-17 09:00:00,286.57899999999995,286.383,0.19599999999996953
2024-02-18 09:00:00,286.59099999999995,286.395,0.19599999999996953
2024-02-19 09:00:00,286.65299999999996,286.424,0.228999999999985
2024-02-20 09:00:00,286.05499999999995,286.721,-0.6660000000000537
2024-02-21 09:00:00,285.957,286.67699999999996,-0.7199999999999704
2024-02-22 09:00:00,286.178,286.751,-0.5729999999999791
2024-02-23 09:00:00,286.23699999999997,286.69399999999996,-0.45699999999999363
2024-02-24 09:00:00,286.513,286.705,-0.19200000000000728
2024-02-25 09:00:00,286.44899999999996,286.68199999999996,-0.2330000000000041
2024-02-26 09:00:00,286.565,286.693,-0.1279999999999859
2024-02-27 09:00:00,286.666,286.80499999999995,-0.13899999999995316
2024-02-28 09:00:00,286.731,286.87199999999996,-0.1409999999999627
2024-02-29 09:00:00,286.85699999999997,286.68199999999996,0.17500000000001137
2024-03-01 09:00:00,286.453,286.534,-0.08100000000001728
2024-03-02 09:00:00,285.83099999999996,286.447,-0.6160000000000423
2024-03-03 09:00:00,285.81899999999996,286.423,-0.6040000000000418
2024-03-04 09:00:00,286.019,286.462,-0.44299999999998363
2024-03-05 09:00:00,286.123,286.433,-0.3100000000000023
2024-03-06 09:00:00,286.21299999999997,286.16499999999996,0.04800000000000182
2024-03-07 09:00:00,286.35299999999995,286.08599999999996,0.2669999999999959
2024-03-08 09:00:00,286.423,286.167,0.25600000000002865
2024-03-09 09:00:00,286.279,286.12,0.15899999999999181
2024-03-10 09:00:00,286.003,285.861,0.1419999999999959
2024-03-11 09:00:00,285.892,285.57599999999996,0.3160000000000309
2024-03-12 09:00:00,285.91499999999996,285.871,0.04399999999998272
2024-03-13 09:00:00,286.284,285.943,0.3410000000000082
2024-03-14 09:00:00,286.373,285.89599999999996,0.4770000000000323
2024-03-15 09:00:00,286.337,285.828,0.5090000000000146
2024-03-16 09:00:00,286.24899999999997,285.71599999999995,0.5330000000000155
2024-03-17 09:00:00,286.30499999999995,286.75699999999995,-0.4519999999999982
2024-03-18 09:00:00,286.61199999999997,286.64,-0.02800000000002001
2024-03-19 09:00:00,286.81,286.78499999999997,0.025000000000034106
2024-03-20 09:00:00,287.037,286.724,0.3129999999999882
2024-03-21 09:00:00,287.054,286.544,0.5099999999999909
2024-03-22 09:00:00,286.22499999999997,285.94599999999997,0.27899999999999636
2024-03-23 09:00:00,285.77599999999995,285.92699999999996,-0.15100000000001046
