time,sst_SanPablo,sst_Alameda,sst_SanGregorio,sst_Farallones
2023-08-31 20:00:00,0.9395560060537871,0.9676693342233322,0.8453788347668983,0.5545536962132586
2023-08-31 20:30:00,0.9391288297397864,0.9674781401421767,0.8382779633752756,0.5567263103732284
2023-08-31 21:00:00,0.9386870355078483,0.9672804034244169,0.8309341010876541,0.5589732711073403
2023-08-31 21:30:00,0.93824524127591,0.9670826667066571,0.8235902388000327,0.5612202318414523
2023-08-31 22:00:00,0.9378180649619093,0.9668914726255016,0.8164893674084099,0.5633928460014221
2023-08-31 22:30:00,0.9374182517595379,0.9667125256301841,0.8098433478664442,0.5654262916685759
2023-08-31 23:00:00,0.937055289187477,0.9665500721111462,0.8038098894098193,0.5672723154244657
2023-08-31 23:30:00,0.936734791167031,0.9664066247276585,0.7984823111947638,0.568902364925437
2023-09-01 00:00:00,0.9364586448322562,0.9662830281165841,0.7938919826951814,0.5703068422278808
2023-09-01 00:30:00,0.9362256952747721,0.9661787653680679,0.7900197060866341,0.5714916211834573
2023-09-01 01:00:00,0.9360326682257942,0.9660923709963345,0.7868110538159605,0.5724733546881521
2023-09-01 01:30:00,0.935875077997457,0.9660218373128916,0.7841914611388306,0.5732748569024296
2023-09-01 02:00:00,0.9357479704557508,0.9659649469637595,0.7820785764189169,0.5739213244988269
2023-09-01 02:30:00,0.9356464488451813,0.9659195082762337,0.7803910018121392,0.5744376623233672
2023-09-01 03:00:00,0.9355659955282698,0.965883499261926,0.7790536414817684,0.574846847031905
2023-09-01 03:30:00,0.935502633154352,0.9658551397521311,0.7780003806770108,0.5751691073873393
2023-09-01 04:00:00,0.9354529747574931,0.9658329138204773,0.7771749185012018,0.575421669462157
2023-09-01 04:30:00,0.9354142055701963,0.9658155616431692,0.7765304656045171,0.5756188491337143
2023-09-01 05:00:00,0.935384028400972,0.9658020550512711,0.776028836205597,0.5757723298933345
2023-09-01 05:30:00,0.9353605938651773,0.9657915663036705,0.7756392883319283,0.5758915176915134
2023-09-01 06:00:00,0.9353424283962568,0.9657834358665999,0.7753373271642673,0.5759839070719766
2023-09-01 06:30:00,0.9353283670716834,0.9657771423481076,0.7751035884149061,0.5760554228182264
2023-09-01 07:00:00,0.9353174944794147,0.965772276031272,0.774922855361917,0.5761107207061112
2023-09-01 07:30:00,0.9353090945742674,0.9657685164310933,0.7747832253211153,0.5761534425337675
2023-09-01 08:00:00,0.9353026092276893,0.9657656137423455,0.7746754206267267,0.5761864269370363
2023-09-01 08:30:00,0.9352976045755971,0.965763373777659,0.7745922292378276,0.576211880544001
2023-09-01 09:00:00,0.9352807597027298,0.965755834408353,0.7743122200895715,0.5762975533870749
2023-09-01 09:30:00,0.9352575341962007,0.9656934896237069,0.7742248161040283,0.5764035079644275
2023-09-01 10:00:00,0.9352506338425585,0.9656749668387994,0.7741988481704877,0.5764349873232452
2023-09-01 10:30:00,0.9352416919253069,0.9656509638356927,0.7741651972701206,0.5764757802791243
2023-09-01 11:00:00,0.9352301102379067,0.9656198748342151,0.774121612186763,0.5765286158455728
2023-09-01 11:30:00,0.9352151192394755,0.965579634137305,0.7740651969258724,0.5765970046620181
2023-09-01 12:00:00,0.9351957316555941,0.9655275915805417,0.7739922361015661,0.5766854506665637
2023-09-01 12:30:00,0.935170685327234,0.9654603591201506,0.7738979798613782,0.5767997118187286
2023-09-01 13:00:00,0.9351383740733353,0.9653736252457595,0.773776383703072,0.5769471155038233
2023-09-01 13:30:00,0.9350967661581927,0.9652619361204486,0.7736198016449345,0.5771369304840881
2023-09-01 14:00:00,0.9350433116726773,0.9651184469619389,0.7734186376757716,0.5773807894248304
2023-09-01 14:30:00,0.9349748432770082,0.9649346556040324,0.7731609722225883,0.5776931417051152
2023-09-01 15:00:00,0.9348874800038791,0.9647001442730361,0.7728322001352276,0.5780916922671421
2023-09-01 15:30:00,0.9347765519457132,0.9644023774239515,0.7724147472637417,0.5785977451923949
2023-09-01 16:00:00,0.9346365751796248,0.9640266344309497,0.771887976094112,0.5792363180937652
2023-09-01 16:30:00,0.9344613208418178,0.9635561950054337,0.7712284456942519,0.5800358269986973
2023-09-01 17:00:00,0.9342440373451708,0.9629729357000394,0.770410747980063,0.581027072594314
2023-09-01 17:30:00,0.9339778939897619,0.9622585207030119,0.7694091771441608,0.582241216479712
2023-09-01 18:00:00,0.9336567059635337,0.9613963479748951,0.7682004580333007,0.5837064737186495
2023-09-01 18:30:00,0.9332759587443743,0.9603742990756244,0.7667676012558887,0.585443439525345
2023-09-01 19:00:00,0.9328340599586076,0.9591880995583194,0.7651046142706807,0.5874593782959342
2023-09-01 19:30:00,0.9323336115637961,0.9578447339201195,0.7632212889614801,0.5897424199205651
2023-09-01 20:00:00,0.9317823539665866,0.9563649799203752,0.7611467546129287,0.592257252725249
2023-09-01 20:30:00,0.931193368442737,0.9547839519415866,0.7589302396728883,0.5949442000332933
2023-09-01 21:00:00,0.9305842279108218,0.9531488213908772,0.7566378758797183,0.59772309432895
2023-09-01 21:30:00,0.9299750873789068,0.9515136908401679,0.7543455120865484,0.6005019886246068
2023-09-01 22:00:00,0.9293861018550572,0.9499326628613793,0.752128997146508,0.6031889359326511
2023-09-01 22:30:00,0.9288348442578477,0.948452908861635,0.7500544627979566,0.605703768737335
2023-09-01 23:00:00,0.9283343958630362,0.9471095432234351,0.7481711374887561,0.6079868103619659
2023-09-01 23:30:00,0.9278924970772695,0.9459233437061301,0.746508150503548,0.610002749132555
2023-09-02 00:00:00,0.9275117498581101,0.9449012948068594,0.745075293726136,0.6117397149392506
2023-09-02 00:30:00,0.9271905618318819,0.9440391220787426,0.7438665746152759,0.613204972178188
2023-09-02 01:00:00,0.926924418476473,0.9433247070817151,0.7428650037793737,0.6144191160635861
2023-09-02 01:30:00,0.926707134979826,0.9427414477763209,0.7420473060651849,0.6154103616592028
2023-09-02 02:00:00,0.926531880642019,0.9422710083508048,0.7413877756653248,0.6162098705641349
2023-09-02 02:30:00,0.9263919038759306,0.941895265357803,0.740861004495695,0.6168484434655052
2023-09-02 03:00:00,0.9262809758177647,0.9415974985087184,0.7404435516242092,0.617354496390758
2023-09-02 03:30:00,0.9261936125446356,0.9413629871777222,0.7401147795368485,0.6177530469527849
2023-09-02 04:00:00,0.9261251441489665,0.9411791958198156,0.7398571140836652,0.6180653992330697
2023-09-02 04:30:00,0.9260716896634511,0.9410357066613059,0.7396559501145022,0.618309258173812
2023-09-02 05:00:00,0.9260300817483085,0.940924017535995,0.7394993680563647,0.6184990731540768
2023-09-02 05:30:00,0.9259977704944098,0.9408372836616039,0.7393777718980585,0.6186464768391715
