,system:time_start,NDVI,fitted,NDVI_normalized
2023-06-21 15:00:00,,0.556,0.7009863656700223,0.9620179217425929
2023-06-21 15:30:00,,0.556,0.70098684472089,0.9620215509158333
2023-06-21 16:00:00,,0.556,0.7009873070115406,0.9620250531177319
2023-06-21 16:30:00,,0.556,0.7009877531234112,0.9620284327531159
2023-06-21 17:00:00,,0.556,0.7009881836181097,0.9620316940765882
2023-06-21 17:30:00,,0.556,0.7009885990380662,0.9620348411974718
2023-06-21 18:00:00,,0.556,0.7009889999071677,0.9620378780846036
2023-06-21 18:30:00,,0.556,0.7009893867313696,0.9620408085709817
2023-06-21 19:00:00,,0.556,0.7009897599992917,0.9620436363582704
2023-06-21 19:30:00,,0.556,0.7009901201827937,0.962046365021165
2023-06-21 20:00:00,,0.556,0.700990467737534,0.9620489980116219
2023-06-21 20:30:00,,0.556,0.70099080310351,0.9620515386629555
2023-06-21 21:00:00,,0.556,0.7009911267055825,0.9620539901938072
2023-06-21 21:30:00,,0.556,0.7009914389539825,0.9620563557119894
2023-06-21 22:00:00,,0.556,0.7009917402448033,0.9620586382182069
2023-06-21 22:30:00,,0.556,0.7009920309604752,0.9620608406096608
2023-06-21 23:00:00,,0.556,0.7009923114702268,0.9620629656835362
2023-06-21 23:30:00,,0.556,0.7009925821305301,0.9620650161403794
2023-06-22 00:00:00,,0.556,0.701,0.962121212121212
2023-06-22 00:30:00,,0.5563362767493024,0.7010049452463132,0.9621586761084338
2023-06-22 01:00:00,,0.5563457691941294,0.7010050848410901,0.9621597336446222
2023-06-22 01:30:00,,0.5563555288901718,0.7010052283660319,0.9621608209547874
2023-06-22 02:00:00,,0.55636556332145,0.7010053759311977,0.9621619388727105
2023-06-22 02:30:00,,0.5563758801792635,0.701005527649695,0.9621630882552654
2023-06-22 03:00:00,,0.5563864873678007,0.7010056836377617,0.9621642699830437
2023-06-22 03:30:00,,0.5563973930098917,0.7010058440148513,0.962165484960995
2023-06-22 04:00:00,,0.5564086054529089,0.7010060089037192,0.9621667341190852
2023-06-22 04:30:00,,0.5564201332748194,0.701006178430512,0.96216801841297
2023-06-22 05:00:00,,0.5564319852903893,0.7010063527248587,0.9621693388246868
2023-06-22 05:30:00,,0.5564441705575475,0.7010065319199639,0.962170696363363
2023-06-22 06:00:00,,0.5564566983839098,0.7010067161527045,0.9621720920659436
2023-06-22 06:30:00,,0.5564695783334672,0.7010069055637275,0.9621735269979352
2023-06-22 07:00:00,,0.5564828202334428,0.7010071002975505,0.9621750022541713
2023-06-22 07:30:00,,0.5564964341813194,0.7010073005026665,0.9621765189595943
2023-06-22 08:00:00,,0.5565104305520432,0.7010075063316477,0.9621780782700582
2023-06-22 08:30:00,,0.5565248200054053,0.7010077179412559,0.9621796813731511
2023-06-22 09:00:00,,0.5565396134936063,0.701007935492553,0.962181329489038
2023-06-22 09:30:00,,0.556554822269007,0.7010081591510148,0.9621830238713243
2023-06-22 10:00:00,,0.5565704578920689,0.701008389086648,0.9621847658079399
2023-06-22 10:30:00,,0.5565865322394876,0.70100862547411,0.9621865566220462
2023-06-22 11:00:00,,0.5566030575125246,0.7010088684928312,0.9621883976729639
2023-06-22 11:30:00,,0.5566200462455391,0.7010091183271402,0.9621902903571232
2023-06-22 12:00:00,,0.5566375113147258,0.701009375166393,0.962192236109038
2023-06-22 12:30:00,,0.5566554659470603,0.7010096392051037,0.9621942364023016
2023-06-22 13:00:00,,0.5566739237294569,0.7010099106430802,0.9621962927506079
2023-06-22 13:30:00,,0.5566928986181437,0.701010189685561,0.9621984067087949
2023-06-22 14:00:00,,0.556712404948256,0.7010104765433567,0.9622005798739144
2023-06-22 14:30:00,,0.5567324574436542,0.7010107714329948,0.962202813886325
2023-06-22 15:00:00,,0.5567530712269687,0.7010110745768672,0.9622051104308119
2023-06-22 15:30:00,,0.5567742618298761,0.7010113862033804,0.9622074712377312
2023-06-22 16:00:00,,0.556796045203609,0.7010117065471119,0.962209898084181
2023-06-22 16:30:00,,0.556818437729705,0.7010120358489662,0.9622123927951988
2023-06-22 17:00:00,,0.556841456230996,0.7010123743563381,0.9622149572449861
2023-06-22 17:30:00,,0.5568651179828437,0.701012722323277,0.9622175933581598
2023-06-22 18:00:00,,0.5568894407246222,0.7010130800106562,0.9622203031110318
2023-06-22 18:30:00,,0.5569144426714535,0.7010134476863449,0.9622230885329158
2023-06-22 19:00:00,,0.5569401425261955,0.7010138256253852,0.9622259517074637
2023-06-22 19:30:00,,0.5569665594916899,0.7010142141101718,0.9622288947740295
2023-06-22 20:00:00,,0.5569937132832685,0.7010146134306363,0.9622319199290628
2023-06-22 20:30:00,,0.5570216241415245,0.7010150238844342,0.9622350294275316
2023-06-22 21:00:00,,0.5570503128453472,0.7010154457771374,0.9622382255843746
2023-06-22 21:30:00,,0.5570798007252272,0.7010158794224298,0.9622415107759833
2023-06-22 22:00:00,,0.5571101096768298,0.7010163251423063,0.9622448874417144
2023-06-22 22:30:00,,0.557141262174841,0.701016783267277,0.9622483580854323
2023-06-22 23:00:00,,0.5571732812870873,0.7010172541365748,0.9622519252770818
2023-06-22 23:30:00,,0.5572061906889311,0.7010177380983665,0.9622555916542926
2023-06-23 00:00:00,,0.5572400146779409,0.7010182355099697,0.9622593599240129
2023-06-23 00:30:00,,0.5572747781888399,0.7010187467380712,0.9622632328641755
2023-06-23 01:00:00,,0.5573105068087313,0.7010192721589519,0.9622672133253933
2023-06-23 01:30:00,,0.5573472267926015,0.7010198121587147,0.9622713042326873
