,HourlyDryBulbTemperature,HourlyVisibility,HourlyWindSpeed,HourlyWindDirection,HourlyPrecipitation,HourlyWindSpeed_24row_mean,HourlyWindDirection_24row_mean,HourlyDryBulbTemperature_24row_mean,HourlyDryBulbTemperature_6row_mean
2023-11-25 23:00:00,0.23534260045405167,1.0,0.11616406403922629,0.5277090938012046,0.0,0.19761212383520108,0.33343063563347863,0.32349708989337733,0.2744694015824079
2023-11-25 23:30:00,0.2549019607843137,1.0,0.06976744186046512,0.5,0.0,0.17823227887396076,0.3612084134112565,0.3120591813966453,0.25812953230136215
2023-11-26 00:00:00,0.2549019607843137,1.0,0.06976744186046512,0.5,0.0,0.15887639343943202,0.38894040187131873,0.30062935336774543,0.24183814582730925
2023-11-26 00:30:00,0.19607843137254902,1.0,0.06976744186046512,0.5555555555555556,0.0,0.14918647095881188,0.4028292907602076,0.2875574579429088,0.23530219811489098
2023-11-26 01:00:00,0.19607843137254902,0.994,0.06976744186046512,0.5555555555555556,0.0,0.1394965484781917,0.41671817964909647,0.2744855625180722,0.22876625040247267
2023-11-26 01:30:00,0.17647058823529413,1.0,0.06976744186046512,0.4722222222222222,0.0,0.12399267250919947,0.4398663277972447,0.25814569323702646,0.21896232883384523
2023-11-26 02:00:00,0.17642210542830128,1.0,0.06959493326814176,0.471054594620478,0.0,0.10848400463486489,0.46290572631581856,0.24180582395598071,0.2091422463295535
2023-11-26 02:30:00,0.1568627450980392,1.0,0.0,0.0,0.0,0.09104214416974861,0.44207239298248524,0.22546595467493494,0.19280237704850775
2023-11-26 03:00:00,0.1568627450980392,1.0,0.00028751432053892727,0.001167627601744199,0.0,0.07364341085271318,0.42129057263158187,0.20915032679738563,0.17646250776746197
2023-11-26 03:30:00,0.1568627450980392,1.0,0.11627906976744186,0.4722222222222222,0.0,0.07364341085271317,0.42129057263158187,0.2026143790849673,0.1699265600550437
2023-11-26 04:00:00,0.1568627450980392,0.994,0.11627906976744186,0.4722222222222222,0.0,0.07364341085271318,0.42129057263158187,0.19607843137254902,0.1633906123426254
2023-11-26 04:30:00,0.1568627450980392,1.0,0.13953488372093023,0.4722222222222222,0.0,0.0755813953488372,0.4166609430019523,0.1895424836601307,0.16012263848641622
2023-11-26 05:00:00,0.15691122790503206,1.0,0.13947738085682246,0.4723595901753686,0.0,0.07752417175030356,0.41204848436646585,0.18300653594771243,0.15687082556587137
2023-11-26 05:30:00,0.17647058823529413,1.0,0.11627906976744186,0.5277777777777778,0.0,0.08140014074255161,0.4143632991812807,0.17647058823529413,0.1601387994220805
2023-11-26 06:00:00,0.17651907104228698,1.0,0.11633657263154965,0.5276404098246315,0.0,0.085280901640142,0.4166666666666667,0.1699386807567919,0.1634148537461218
2023-11-26 06:30:00,0.19607843137254902,1.0,0.13953488372093023,0.4722222222222222,0.0,0.09109485512851408,0.40972222222222227,0.1699386807567919,0.1699508014585401
2023-11-26 07:00:00,0.19607843137254902,0.994,0.13953488372093023,0.4722222222222222,0.0,0.09690880861688617,0.4027777777777777,0.1699386807567919,0.1764867491709584
2023-11-26 07:30:00,0.21568627450980393,1.0,0.06976744186046512,0.4444444444444444,0.0,0.09690880861688618,0.40046296296296297,0.17320665461300103,0.18629067073958586
2023-11-26 08:00:00,0.21588020573777528,1.0,0.06993995045278847,0.4444444444444444,0.0,0.09693756004894007,0.39824545044829346,0.17649482963879057,0.1961188337117097
2023-11-26 08:30:00,0.29411764705882354,1.0,0.13953488372093023,0.4444444444444444,0.0,0.10856546702568426,0.4352824874853305,0.18793273813552255,0.21572667684896463
2023-11-26 09:00:00,0.29416612986581636,1.0,0.13947738085682246,0.4441697085381517,0.0,0.12016462257037454,0.47219932756336447,0.19937468686617066,0.2353345199862195
2023-11-26 09:30:00,0.3137254901960784,1.0,0.11627906976744186,0.3333333333333333,0.0,0.12016462257037454,0.46062525348929045,0.2124465822910073,0.2549423631234744
2023-11-26 10:00:00,0.3137254901960784,0.994,0.11627906976744186,0.3333333333333333,0.0,0.12016462257037454,0.44905117941521633,0.22551847771584385,0.2745502062607293
2023-11-26 10:30:00,0.35294117647058826,1.0,0.16279069767441862,0.19444444444444445,0.0,0.12210260706649857,0.4259030312670682,0.2418583469968896,0.2974260232541934
2023-11-26 11:00:00,0.35303814208457396,1.0,0.16256068621798747,0.19437576046787125,0.0,0.12402621584659568,0.40273771212477666,0.2582022565118514,0.3202856793119932
2023-11-26 11:30:00,0.39215686274509803,1.0,0.06976744186046512,0.16666666666666666,0.0,0.12015024685434761,0.3726451195321841,0.2761761127210018,0.3366255485930389
