time,sst_coast,sst_offshore,sst_upwelling_dif
2023-06-21 09:00:00,288.128,289.30699999999996,-1.1789999999999736
2023-06-22 09:00:00,288.097,289.043,-0.9460000000000264
2023-06-23 09:00:00,288.38599999999997,288.948,-0.5620000000000118
2023-06-24 09:00:00,288.33599999999996,289.668,-1.3320000000000505
2023-06-25 09:00:00,288.962,289.847,-0.8849999999999909
2023-06-26 09:00:00,287.983,289.852,-1.8689999999999714
2023-06-27 09:00:00,287.83799999999997,289.895,-2.0570000000000164
2023-06-28 09:00:00,287.638,289.719,-2.0810000000000173
2023-06-29 09:00:00,287.64599999999996,289.965,-2.319000000000017
2023-06-30 09:00:00,287.518,290.87399999999997,-3.3559999999999945
2023-07-01 09:00:00,288.697,290.93199999999996,-2.234999999999957
2023-07-02 09:00:00,288.842,290.74399999999997,-1.9019999999999868
2023-07-03 09:00:00,289.041,290.06899999999996,-1.0279999999999632
2023-07-04 09:00:00,289.058,290.01599999999996,-0.95799999999997
2023-07-05 09:00:00,288.993,289.88899999999995,-0.8959999999999582
2023-07-06 09:00:00,288.52099999999996,289.22799999999995,-0.7069999999999936
2023-07-07 09:00:00,288.39599999999996,289.27099999999996,-0.875
2023-07-08 09:00:00,288.361,289.75199999999995,-1.3909999999999627
2023-07-09 09:00:00,288.303,289.971,-1.6680000000000064
2023-07-10 09:00:00,288.467,290.12199999999996,-1.6549999999999727
2023-07-11 09:00:00,288.84099999999995,290.135,-1.2940000000000396
2023-07-12 09:00:00,288.988,289.83599999999996,-0.8479999999999563
2023-07-13 09:00:00,289.118,293.144,-4.0260000000000105
2023-07-14 09:00:00,288.751,293.215,-4.463999999999999
2023-07-15 09:00:00,288.717,293.243,-4.5260000000000105
2023-07-16 09:00:00,289.602,293.09499999999997,-3.492999999999995
2023-07-17 09:00:00,289.54999999999995,293.073,-3.5230000000000246
2023-07-18 09:00:00,289.543,293.125,-3.5819999999999936
2023-07-19 09:00:00,289.666,293.60499999999996,-3.9389999999999645
2023-07-20 09:00:00,289.78,293.94,-4.160000000000025
2023-07-21 09:00:00,289.33299999999997,293.928,-4.595000000000027
2023-07-22 09:00:00,289.477,294.049,-4.572000000000003
2023-07-23 09:00:00,289.399,294.063,-4.663999999999987
2023-07-24 09:00:00,289.61199999999997,294.13599999999997,-4.524000000000001
2023-07-25 09:00:00,289.40099999999995,294.381,-4.980000000000018
2023-07-26 09:00:00,289.30499999999995,294.078,-4.773000000000025
2023-07-27 09:00:00,289.47999999999996,293.83599999999996,-4.3559999999999945
2023-07-28 09:00:00,289.47499999999997,294.4,-4.925000000000011
2023-07-29 09:00:00,289.327,294.768,-5.440999999999974
2023-07-30 09:00:00,289.301,294.784,-5.483000000000004
2023-07-31 09:00:00,289.173,294.80199999999996,-5.628999999999962
2023-08-01 09:00:00,289.137,294.873,-5.73599999999999
2023-08-02 09:00:00,289.217,294.96799999999996,-5.750999999999976
2023-08-03 09:00:00,289.61699999999996,295.28099999999995,-5.663999999999987
2023-08-04 09:00:00,289.114,295.84499999999997,-6.7309999999999945
2023-08-05 09:00:00,289.01,295.965,-6.954999999999984
2023-08-06 09:00:00,288.876,295.81399999999996,-6.937999999999988
2023-08-07 09:00:00,288.524,295.616,-7.0919999999999845
2023-08-08 09:00:00,288.51599999999996,295.474,-6.958000000000027
2023-08-09 09:00:00,289.34299999999996,295.229,-5.886000000000024
2023-08-10 09:00:00,288.948,295.52799999999996,-6.579999999999984
2023-08-11 09:00:00,289.12699999999995,296.09799999999996,-6.971000000000004
2023-08-12 09:00:00,289.397,296.054,-6.656999999999982
2023-08-13 09:00:00,289.613,296.013,-6.399999999999977
2023-08-14 09:00:00,290.09799999999996,295.87,-5.772000000000048
2023-08-15 09:00:00,290.294,295.561,-5.266999999999996
2023-08-16 09:00:00,290.25899999999996,295.15099999999995,-4.891999999999996
2023-08-17 09:00:00,290.306,294.66299999999995,-4.356999999999971
2023-08-18 09:00:00,290.554,294.524,-3.9700000000000273
2023-08-19 09:00:00,290.792,294.46099999999996,-3.6689999999999827
2023-08-20 09:00:00,290.84999999999997,294.178,-3.3280000000000314
2023-08-21 09:00:00,290.89,293.91299999999995,-3.0229999999999677
2023-08-22 09:00:00,291.388,293.995,-2.6070000000000277
2023-08-23 09:00:00,291.55899999999997,294.025,-2.466000000000008
2023-08-24 09:00:00,291.496,293.917,-2.4209999999999923
2023-08-25 09:00:00,291.585,293.729,-2.1440000000000055
2023-08-26 09:00:00,291.515,293.81199999999995,-2.2969999999999686
2023-08-27 09:00:00,291.20099999999996,293.983,-2.782000000000039
2023-08-28 09:00:00,291.039,294.111,-3.0720000000000027
2023-08-29 09:00:00,291.14,294.236,-3.0960000000000036
2023-08-30 09:00:00,291.06,294.2,-3.1399999999999864
2023-08-31 09:00:00,290.62699999999995,294.212,-3.5850000000000364
2023-09-01 09:00:00,290.416,293.91999999999996,-3.5039999999999623
2023-09-02 09:00:00,290.44,293.9,-3.4599999999999795
2023-09-03 09:00:00,290.34499999999997,293.96299999999997,-3.617999999999995
2023-09-04 09:00:00,290.256,293.95,-3.694000000000017
2023-09-05 09:00:00,290.18399999999997,294.02299999999997,-3.8389999999999986
2023-09-06 09:00:00,290.24699999999996,293.78799999999995,-3.540999999999997
2023-09-07 09:00:00,290.323,293.743,-3.420000000000016
2023-09-08 09:00:00,290.21099999999996,294.652,-4.441000000000031
2023-09-09 09:00:00,290.23199999999997,294.786,-4.5540000000000305
2023-09-10 09:00:00,289.95,294.784,-4.834000000000003
2023-09-11 09:00:00,290.347,294.58299999999997,-4.23599999999999
2023-09-12 09:00:00,290.267,294.36899999999997,-4.101999999999975
2023-09-13 09:00:00,289.988,294.72299999999996,-4.734999999999957
2023-09-14 09:00:00,290.037,294.71299999999997,-4.675999999999988
2023-09-15 09:00:00,290.626,294.67199999999997,-4.045999999999992
2023-09-16 09:00:00,291.029,294.575,-3.5459999999999923
2023-09-17 09:00:00,290.709,294.34799999999996,-3.638999999999953
2023-09-18 09:00:00,290.52599999999995,294.392,-3.8660000000000423
2023-09-19 09:00:00,290.57099999999997,294.42699999999996,-3.8559999999999945
2023-09-20 09:00:00,290.58,294.433,-3.8530000000000086
2023-09-21 09:00:00,289.705,293.80899999999997,-4.103999999999985
2023-09-22 09:00:00,289.556,293.48699999999997,-3.930999999999983
2023-09-23 09:00:00,290.027,293.412,-3.384999999999991
2023-09-24 09:00:00,290.41799999999995,293.57099999999997,-3.15300000000002
2023-09-25 09:00:00,290.364,293.74399999999997,-3.3799999999999955
2023-09-26 09:00:00,290.433,293.717,-3.283999999999992
2023-09-27 09:00:00,290.262,293.582,-3.319999999999993
2023-09-28 09:00:00,290.233,293.421,-3.187999999999988
2023-09-29 09:00:00,290.222,293.47799999999995,-3.255999999999972
2023-09-30 09:00:00,290.188,293.29299999999995,-3.1049999999999613
2023-10-01 09:00:00,289.92699999999996,293.17499999999995,-3.2479999999999905
2023-10-02 09:00:00,290.044,293.04699999999997,-3.002999999999986
2023-10-03 09:00:00,290.37,292.912,-2.541999999999973
2023-10-04 09:00:00,290.512,292.722,-2.2099999999999795
2023-10-05 09:00:00,290.608,292.74899999999997,-2.1409999999999627
2023-10-06 09:00:00,290.467,292.67199999999997,-2.204999999999984
2023-10-07 09:00:00,290.40099999999995,292.642,-2.2410000000000423
2023-10-08 09:00:00,290.806,292.667,-1.86099999999999
2023-10-09 09:00:00,290.911,292.73499999999996,-1.8239999999999554
2023-10-10 09:00:00,289.501,292.919,-3.4180000000000064
2023-10-11 09:00:00,289.174,292.892,-3.7180000000000177
2023-10-12 09:00:00,288.888,292.878,-3.990000000000009
2023-10-13 09:00:00,289.00399999999996,292.804,-3.8000000000000114
2023-10-14 09:00:00,289.31699999999995,292.94,-3.6230000000000473
2023-10-15 09:00:00,289.645,292.52599999999995,-2.880999999999972
2023-10-16 09:00:00,289.409,292.409,-3.0
2023-10-17 09:00:00,289.31699999999995,292.861,-3.5440000000000396
2023-10-18 09:00:00,289.392,292.823,-3.430999999999983
2023-10-19 09:00:00,289.782,292.80499999999995,-3.0229999999999677
2023-10-20 09:00:00,290.126,292.753,-2.6270000000000095
2023-10-21 09:00:00,290.12,292.56,-2.4399999999999977
2023-10-22 09:00:00,290.337,292.606,-2.2690000000000055
2023-10-23 09:00:00,289.755,292.68399999999997,-2.9289999999999736
2023-10-24 09:00:00,289.049,292.318,-3.2690000000000055
2023-10-25 09:00:00,288.905,292.15299999999996,-3.2479999999999905
2023-10-26 09:00:00,289.092,292.26099999999997,-3.1689999999999827
2023-10-27 09:00:00,288.71599999999995,292.25199999999995,-3.5360000000000014
2023-10-28 09:00:00,288.34099999999995,292.23699999999997,-3.896000000000015
2023-10-29 09:00:00,288.26,292.34099999999995,-4.08099999999996
2023-10-30 09:00:00,288.05499999999995,292.42499999999995,-4.3700000000000045
2023-10-31 09:00:00,288.16799999999995,292.37699999999995,-4.209000000000003
2023-11-01 09:00:00,288.262,292.358,-4.096000000000004
2023-11-02 09:00:00,288.10299999999995,292.364,-4.261000000000024
2023-11-03 09:00:00,287.928,292.306,-4.377999999999986
2023-11-04 09:00:00,288.349,292.47999999999996,-4.130999999999972
2023-11-05 09:00:00,288.515,292.57899999999995,-4.0639999999999645
2023-11-06 09:00:00,288.411,292.52,-4.1089999999999804
2023-11-07 09:00:00,287.991,292.58,-4.588999999999999
2023-11-08 09:00:00,287.938,292.664,-4.725999999999999
2023-11-09 09:00:00,287.981,292.075,-4.093999999999994
2023-11-10 09:00:00,288.02099999999996,291.738,-3.7170000000000414
2023-11-11 09:00:00,287.662,291.635,-3.973000000000013
2023-11-12 09:00:00,287.541,291.643,-4.101999999999975
2023-11-13 09:00:00,287.373,291.604,-4.2309999999999945
2023-11-14 09:00:00,287.34799999999996,291.613,-4.265000000000043
2023-11-15 09:00:00,287.35699999999997,291.57599999999996,-4.218999999999994
2023-11-16 09:00:00,287.236,291.44399999999996,-4.20799999999997
2023-11-17 09:00:00,287.09299999999996,291.37199999999996,-4.278999999999996
2023-11-18 09:00:00,287.303,291.145,-3.8419999999999845
2023-11-19 09:00:00,287.36699999999996,291.22299999999996,-3.8559999999999945
2023-11-20 09:00:00,287.496,291.046,-3.5500000000000114
2023-11-21 09:00:00,287.44199999999995,290.60699999999997,-3.1650000000000205
2023-11-22 09:00:00,287.393,290.632,-3.2390000000000327
2023-11-23 09:00:00,287.304,290.818,-3.51400000000001
2023-11-24 09:00:00,287.113,291.332,-4.218999999999994
2023-11-25 09:00:00,286.89599999999996,291.17699999999996,-4.281000000000006
2023-11-26 09:00:00,286.923,290.931,-4.007999999999981
2023-11-27 09:00:00,286.93699999999995,290.45,-3.5130000000000337
2023-11-28 09:00:00,287.195,290.469,-3.274000000000001
2023-11-29 09:00:00,287.16999999999996,290.53,-3.3600000000000136
2023-11-30 09:00:00,286.72499999999997,290.421,-3.6960000000000264
2023-12-01 09:00:00,286.768,290.195,-3.427000000000021
2023-12-02 09:00:00,286.763,290.058,-3.295000000000016
2023-12-03 09:00:00,286.88,290.097,-3.2169999999999845
2023-12-04 09:00:00,287.11499999999995,289.67499999999995,-2.5600000000000023
2023-12-05 09:00:00,287.171,289.618,-2.4470000000000027
